افريقا	非洲
کينډۍ:د هېواد مالومات سعودي عربستان	Template:Country data Saudi Arabia
کينډۍ:د هېواد مالومات بهاماس	Template:Country data Bahamas
کينډۍ:د هېواد مالومات کرواتيا	Template:Country data Croatia
کينډۍ:د هېواد مالومات عراق	Template:Country data Iraq
کينډۍ:ليکوال-مالوماتبکس/لاسوند	Template:Infobox Writer
کينډۍ:د هېواد مالومات متحده عرب امارات	Template:Country data United Arab Emirates
کينډۍ:د هېواد مالومات ماروکو	Template:Country data Morocco
کينډۍ:د هېواد مالومات سربيا	Template:Country data Serbia
کينډۍ:د هېواد مالومات آسټراليا	Template:Country data Australia
کينډۍ:د هېواد مالومات فرانسه	Template:Country data France
کينډۍ:Ambox	Template:Ambox
کينډۍ:DorlandsDict	Template:DorlandsDict
کينډۍ:دکارنبکس-بېخ	Template:Userboxbottom
کينډۍ:هېواد-مالوماتبکس	Template:國家基礎資訊
کينډۍ:د هېواد مالومات لاووس	Template:Country data Laos
کينډۍ:د هېواد مالومات اتريش	Template:Country data Austria
کينډۍ:د فلسفې څنگپټه	Template:Philosophy-sidebar
کينډۍ:د هېواد مالومات نيپال	Template:Country data Nepal
کينډۍ:ترسره شو	Template:完成
کينډۍ:لاسوند/دلاسوندنوم	Template:Documentation/docname
کينډۍ:د هېواد مالومات فېنلاند	Template:Country data Finland
کينډۍ:Audio	Template:Audio
کينډۍ:د هېواد مالومات مصر	Template:Country data Egypt
کينډۍ:د هېواد مالومات لېتوانيا	Template:Country data Lithuania
ويکيپېډيا:ځان زده کړه (د ويکيپېډيا تړنې)	Wikipedia:新手入門/維基文本
کينډۍ:Used in system	Template:Used in system
کينډۍ:د هېواد مالومات جاپان	Template:Country data Japan
کينډۍ:د هېواد مالومات نېدرلنډ	Template:Country data Netherlands
کينډۍ:Start box	Template:Start
کينډۍ:ساينسپوه-مالوماتبکس	Template:Infobox Scientist
کينډۍ:پوهنتون مالوماتبکس/لاسوند	Template:Infobox university
کينډۍ:د هېواد مالومات آذربايجان	Template:Country data Azerbaijan
کينډۍ:د فايرفاکس کارن	Template:User Firefox
کينډۍ:Ar	Template:Lang-ar
کينډۍ:د هېواد مالومات وېتنام	Template:Country data Vietnam
کينډۍ:Featured article	Template:Featured article
کينډۍ:د هېواد مالومات لېبيا	Template:Country data Libya
کينډۍ:د هېواد مالومات روسیه	Template:Country data Russia
وېشنيزه:User en	Category:En 使用者
وېشنيزه:User en-2	Category:En-2 使用者
کينډۍ:مالوماتبکس	Template:Infobox
کينډۍ:Navy	Template:Navy
کينډۍ:د هېواد مالومات اېکواټوريال گوينا	Template:Country data Equatorial Guinea
کينډۍ:User zh	Template:User zh
کينډۍ:Colorbox	Template:Colorbox
وېشنيزه:دوتر توکي	Category:办公设备
کينډۍ:د هېواد مالومات اټاليا	Template:Country data Italy
کينډۍ:د المان ايالتي نقشه	Template:德國聯邦
کينډۍ:User ru-4	Template:User ru-4
کينډۍ:Pp-template	Template:Pp-template
کينډۍ:د هېواد مالومات سويډن	Template:Country data Sweden
وېشنيزه:کرهڼه	Category:农业
کينډۍ:Infobox settlement	Template:Infobox Settlement
کينډۍ:User ru	Template:User ru
کينډۍ:نغا	Template:IPA
وېشنيزه:سياستوال	Category:政治人物
وېشنيزه:لمريز نظام	Category:太阳系行星
وېشنيزه:امريکا	Category:美洲
کينډۍ:د هېواد مالومات کوسټاريکا	Template:Country data Costa Rica
کينډۍ:د هېواد مالومات هند	Template:Country data India
کينډۍ:د هېواد مالومات الجېريا	Template:Country data Algeria
کينډۍ:د هېواد مالومات وېنېزوېلا	Template:Country data Venezuela
کينډۍ:د هېواد مالومات فيجي	Template:Country data Fiji
کينډۍ:Infobox Officeholder	Template:Infobox Officeholder
کينډۍ:د هېواد مالومات انډورا	Template:Country data Andorra
کينډۍ:د هېواد مالومات آنگولا	Template:Country data Angola
کينډۍ:د هېواد مالومات بوټسوانا	Template:Country data Botswana
کينډۍ:د هېواد مالومات اروپايي اتحاديه	Template:Country data European Union
کينډۍ:Border	Template:Border
کينډۍ:د هېواد مالومات ډومنيکا	Template:Country data Dominica
کينډۍ:د هېواد مالومات پارتوګال	Template:Country data Portugal
کينډۍ:د هېواد مالومات آيرلېنډ	Template:Country data Ireland
کينډۍ:د هېواد مالومات واټيکان ښار	Template:Country data Vatican City
کينډۍ:Fmbox	Template:Fmbox
کينډۍ:د هېواد مالومات چین	Template:Country data China
کينډۍ:د هېواد مالومات بېنين	Template:Country data Benin
کينډۍ:د هېواد مالومات د کانگو جمهوريت	Template:Country data Republic of the Congo
کينډۍ:ويکيسازنه	Template:Wikify
کينډۍ:د هېواد مالومات ترکيه	Template:Country data Turkey
وېشنيزه:ليکوال	Category:作家
کينډۍ:د هېواد مالومات قبرس	Template:Country data Cyprus
کينډۍ:د هېواد مالومات سويتزرلاند	Template:Country data Switzerland
کينډۍ:د هېواد مالومات فلېپين	Template:Country data Philippines
کينډۍ:د هېواد مالومات نايجېريا	Template:Country data Nigeria
کينډۍ:د هېواد مالومات آيرلنډ	Template:Country data Belarus
کينډۍ:د هېواد مالومات مالېزيا	Template:Country data Malaysia
کينډۍ:د هېواد مالومات ارمنستان	Template:Country data Armenia
کينډۍ:د هېواد مالومات زېمبابوې	Template:Country data Zimbabwe
کينډۍ:د هېواد مالومات ختيځ تېمور	Template:Country data East Timor
وېشنيزه:تومانچې	Category:手枪
کينډۍ:د هېواد مالومات ماينامار	Template:Country data Myanmar
کينډۍ:د هېواد مالومات قزاقستان	Template:Country data Kazakhstan
کينډۍ:د هېواد مالومات چېلي	Template:Country data Chile
کينډۍ:د هېواد مالومات سلووېنيا	Template:Country data Slovenia
کينډۍ:د هېواد مالومات لبنان	Template:Country data Lebanon
کينډۍ:د کتاب مالوماتبکس-1	Template:Infobox Book
کينډۍ:د هېواد مالومات بهوټان	Template:Country data Bhutan
کينډۍ:Booland	Template:Both
وېشنيزه:څارګرې ادارې	Category:情報機構
کينډۍ:سورت	Template:Sura
کينډۍ:لطفاً په دې مخ کې بدلون مه راولۍ	Wikipedia:新手入門/介紹
کينډۍ:Tlx	Template:Tlx
کينډۍ:Lang-la	Template:Lang-la
کينډۍ:Lang-el	Template:Lang-el
وېشنيزه:اخلاق	Category:倫理學
د سره صليب نړيواله ټولنه	红十字国际委员会
وېشنيزه:چاودېدونكى مواد	Category:爆炸物
کينډۍ:Pp-meta	Template:Pp-meta
کينډۍ:IPA-en	Template:IPA-en
کينډۍ:Mergefrom	Template:Mergefrom
وېشنيزه:سولګر	Category:電腦
وېشنيزه:توکي	Category:设备
کينډۍ:مالوماتبکس لويه وچه	Template:Infobox Continent
وېشنيزه:پخوانی ژبې	Category:已灭亡语言
وېشنيزه:User ja-N	Category:Ja 母语使用者
تانبه:اسلام	Portal:伊斯兰教
کينډۍ:دشريان-مالوماتبکس	Template:Infobox artery
کينډۍ:Polytonic	Template:Script/Greek
کينډۍ:تانبې گرځښتپټه	Template:Browsebar
کينډۍ:Familytree/start	Template:Familytree/start
کينډۍ:نامبهمېدنه	Template:Disambig
وېشنيزه:اسرائیلي جوماتونه	Category:以色列清真寺
وېشنيزه:د ایران امپراتورۍ او پاچاهۍ	Category:波斯歷史
وېشنيزه:پوځي الوتکې	Category:军用飞机
کينډۍ:Lang-grc	Template:Lang-grc
کينډۍ:د هېواد مالومات کوموروس	Template:Country data Comoros
کينډۍ:د فلسفې سرليکونه	Template:哲学
کينډۍ:Lang-pt	Template:Lang-pt
کينډۍ:د هېواد مالومات قطر	Template:Country data Qatar
کينډۍ:FRA	Template:FRA
کينډۍ:د هېواد مالومات اسرایل	Template:Country data Israel
کينډۍ:د هېواد مالومات اوکراين	Template:Country data Ukraine
کينډۍ:د هېواد مالومات کولمبيا	Template:Country data Colombia
کينډۍ:د هېواد مالومات پاکستان	Template:Country data Pakistan
کينډۍ:د هېواد مالومات ګانا	Template:Country data Ghana
کينډۍ:د هېواد مالومات رومانیا	Template:Country data Romania
کينډۍ:د هېواد مالومات سوېلي کوريا	Template:Country data South Korea
کينډۍ:د لومړي مخ منځ-ويکي	Template:Mainpage-iw
کينډۍ:Npov	Template:POV
کينډۍ:Afghanistan-stub	Template:Afghanistan-stub
کينډۍ:د هېواد مالومات بحرين	Template:Country data Bahrain
کينډۍ:بوديزم	Template:佛教
وېشنيزه:User ja	Category:Ja 使用者
وېشنيزه:User ur	Category:Ur 使用者
وېشنيزه:User ko-N	Category:Ko 母語使用者
وېشنيزه:User ru-N	Category:Ru 母語使用者
وېشنيزه:وختتېری	Category:娱乐
کينډۍ:قرآن-ته-اړونده	Template:QuranRelated
وېشنيزه:افغاني ټولنه	Category:阿富汗社会
وېشنيزه:چینی الوتکې	Category:中国战斗机
وېشنيزه:تاريخپوهان	Category:历史学家
وېشنيزه:User de	Category:De 使用者
وېشنيزه:User de-N	Category:De 母語使用者
کينډۍ:د افغانستان ولايتونه	Template:阿富汗一级行政区
وېشنيزه:User en-3	Category:En-3 使用者
وېشنيزه:User en-N	Category:En 母语使用者
آلو	李亚属
وېشنيزه:User fa	Category:Fa 使用者
کينډۍ:N/A	Template:N/A
وېشنيزه:د اسلام پيغمبران	Category:伊斯蘭教先知
کينډۍ:د هېواد مالومات برونډي	Template:Country data Burundi
کينډۍ:د هېواد مالومات جرمني	Template:Country data Germany
کينډۍ:د هېواد مالومات بريتانيه	Template:Country data United Kingdom
وېشنيزه:مېچپوهنه	Category:几何学
کينډۍ:د سورة مالوماتبکس	Template:Infobox Sura
کينډۍ:د هېواد مالومات اېسټونيا	Template:Country data Estonia
کينډۍ:د هېواد مالومات مانټېنېګرو	Template:Country data Montenegro
کينډۍ:Weather box	Template:Infobox weather
وېشنيزه:هنرمندان	Category:艺术家
وېشنيزه:User ja-1	Category:Ja-1 使用者
کينډۍ:نستعليق	Template:Script/Nastaliq
وېشنيزه:ژمنۍ لوبې	Category:冰雪运动
وېشنيزه:User ko	Category:Ko 使用者
وېشنيزه:د امريکا د متحده ايالاتو ايالتونه	Category:美国州份
کينډۍ:Smallsup	Template:Smallsup
کينډۍ:وټپوهنه	Template:Economics sidebar
کينډۍ:د ژغورنې کينډۍ	Wikipedia:模板消息/保護模板
وېشنيزه:بانکوالی	Category:银行业
کينډۍ:د هېواد مالومات د عاج ساحل	Template:Country data Côte d'Ivoire
وېشنيزه:د ایران ولایتونه	Category:伊朗省份
وېشنيزه:User ru-1	Category:Ru-1 使用者
کينډۍ:د لارښود نيوليک پر شا تگ	Template:Help contents back
کينډۍ:وپ دلارښود-مخونه (سرپټه)	Template:维基百科帮助页 (页眉栏)
وېشنيزه:مخدره مواد	Category:药物文化
کينډۍ:ويکيپېډيا-ډ-ځ-پ	Template:WikipediaFAQ
وېشنيزه:اند	Category:思想
وېشنيزه:سياسي هڅوب	Category:政治文化
وېشنيزه:لمريز غونډال	Category:太阳系
کينډۍ:د هېواد مالومات برازیل	Template:Country data Brazil
وېشنيزه:مخترعين	Category:發明家
وېشنيزه:سر او غاړه	Category:頭頸
کينډۍ:د هېواد مالومات سوازيلاند	Template:Country data Swaziland
وېشنيزه:ژوپوهنه	Category:動物學
وېشنيزه:د رضوي خراسان ولايت	Category:呼羅珊省
تانبه:دين	Portal:宗教
وېشنيزه:هلیکوپترونه	Category:直升机
وېشنيزه:ټولنيزې پوهنې	Category:社会科学
کينډۍ:د هېواد مالومات هنګري	Template:Country data Hungary
وېشنيزه:د آفریقاهیوادونه	Category:非洲国家
وېشنيزه:د هخامنشیانو حکمرانان	Category:阿契美尼德王朝
کينډۍ:Template reference list	Template:Template reference list
وېشنيزه:حزب الله	Category:真主黨
کينډۍ:د هېواد مالومات نيوزيلاند	Template:Country data New Zealand
وېشنيزه:القاعده	Category:基地组织
وېشنيزه:User ro-3	Category:Ro-3 使用者
وېشنيزه:User ru	Category:Ru 使用者
وېشنيزه:User ru-2	Category:Ru-2 使用者
وېشنيزه:User ru-3	Category:Ru-3 使用者
وېشنيزه:User ru-4	Category:Ru-4 使用者
وېشنيزه:User ur-2	Category:Ur-2 使用者
کينډۍ:انبيا په قرآن كې	Template:伊斯蘭教先知
کينډۍ:د افغانستان تاريخ	Template:阿富汗历史
کينډۍ:Lang	Template:Lang
کينډۍ:د هېواد مالومات د امريکا متحده ايالات	Template:Country data United States
کينډۍ:د هېواد مالومات ترکمنستان	Template:Country data Turkmenistan
وېشنيزه:د ۱۹۵۷ کال زېږېدنې	Category:1957年出生
کينډۍ:د هېواد مالومات سهېلي کوريا	Template:Country data North Korea
کينډۍ:د هېواد مالومات افغانستان	Template:Country data Afghanistan
کينډۍ:د هېواد مالومات بنگله دېش	Template:Country data Bangladesh
لوگر ولايت	洛加尔省
کينډۍ:د پاکستان سياسي جغرافي وېش	Template:Pakistan
کينډۍ:د افغانستان سرليکونه	Template:阿富汗專題
کينډۍ:امينواسيدونه	Template:氨基酸
وېشنيزه:افغانان	Category:阿富汗人
وېشنيزه:بي بي سي	Category:英國廣播公司
کينډۍ:Biochemical families	Template:生物化学物质种类
د آلمان دپاره آلترناتیف	德國新選項黨
کينډۍ:د هېواد مالومات د کانگو ډيموکراتيک جمهوريت	Template:Country data Democratic Republic of the Congo
کينډۍ:Elementbox isotopes stable	Template:Infobox element/isotopes stable
کينډۍ:ICDO	Template:ICDO
وېشنيزه:اوبتلونه	Category:潛艇
وېشنيزه:ماشیندارونه	Category:冲锋枪
وېشنيزه:د افریقایي اتحادیه غړي هیوادونه	Category:非洲联盟成员国
کينډۍ:شريط-تصفح كتب-دين	Template:宗教浏览条
وېشنيزه:ليبيا	Category:利比亞
وېشنيزه:په وچې پورې تړلي هیوادونه	Category:內陸國家
وېشنيزه:د افغانستان وټه	Category:阿富汗经济
کينډۍ:Infobox Language/family-color	Template:Infobox Language/family-color
کينډۍ:User ru-1	Template:User ru-1
کينډۍ:د هېواد مالومات بېلاز	Template:Country data Belize
وېشنيزه:بلوچستان	Category:俾路支地區
کينډۍ:دا وخت	Template:日曆
کينډۍ:د هېواد مالومات کوسووا	Template:Country data Kosovo
کينډۍ:د هېواد مالومات ماورېتانيا	Template:Country data Mauritania
کينډۍ:د هېواد مالومات ګابون	Template:Country data Gabon
کينډۍ:د هېواد مالومات جبوتي	Template:Country data Djibouti
کينډۍ:د هېواد مالومات آروبا	Template:Country data Aruba
کينډۍ:د هېواد مالومات سوډان	Template:Country data Sudan
کينډۍ:د هېواد مالومات چاډ	Template:Country data Chad
وېشنيزه:روسي ساينسپوهان	Category:俄罗斯科学家
وېشنيزه:طالبان	Category:塔利班
وېشنيزه:بازارموندنه	Category:市场营销
وېشنيزه:د نړۍ هېوادونه	Category:國際關係
کينډۍ:د هېواد مالومات انټيگ او بربودا	Template:Country data Antigua and Barbuda
کينډۍ:د هېواد مالومات ګامبيا	Template:Country data Gambia
وېشنيزه:غږپوهنه	Category:音韻學
کينډۍ:د هېواد مالومات نامېبيا	Template:Country data Namibia
کينډۍ:Tnavbar-header	Template:Tnavbar-header
وېشنيزه:مالیه	Category:金融
وېشنيزه:د افغانستان ولايتونه	Category:阿富汗省份
وېشنيزه:د چېک خلک	Category:捷克人
وېشنيزه:آلمانی الوتکې	Category:德國軍用機
وېشنيزه:مرکزي بانکونه	Category:中央银行
وېشنيزه:کيمياوي توکي	Category:化学元素
وېشنيزه:امريکايي فيلسوفان	Category:美国哲学家
وېشنيزه:ساينسپوهان	Category:科学家
وېشنيزه:سولګر ملتونونه	Category:電腦公司
وېشنيزه:د افغانستان پوځ	Category:阿富汗軍事
وېشنيزه:سهېلي کوريا	Category:朝鮮民主主義人民共和國
وېشنيزه:د ليبيا خلک	Category:利比亞人
وېشنيزه:د آسيا ارزونه	Category:亚洲货币
وېشنيزه:ايراني سیاستوال	Category:伊朗政治人物
وېشنيزه:د پاکستان سياستوال	Category:巴基斯坦政治人物
کينډۍ:د هېواد مالومات بورکينا فاسو	Template:Country data Burkina Faso
کينډۍ:د هېواد مالومات د منځنۍ افريقا جمهوريت	Template:Country data Central African Republic
وېشنيزه:خبريالي	Category:新闻学
وېشنيزه:اوزبکستان	Category:烏茲別克
وېشنيزه:مغولو پاچايي	Category:莫卧儿帝国
وېشنيزه:عثماني پېر	Category:奥斯曼帝国
وېشنيزه:افغاني ليکوال	Category:阿富汗作家
کينډۍ:د هېواد مالومات سېچېلېس	Template:Country data Seychelles
کينډۍ:د هېواد مالومات پاپوا نيوګوينا	Template:Country data Papua New Guinea
وېشنيزه:پاکستاني هېوادمشران	Category:巴基斯坦总统
وېشنيزه:مېوې	Category:水果
وېشنيزه:زهرلرونکي نباتونه	Category:有毒植物
وېشنيزه:د اروپا سيمې	Category:歐洲地區
وېشنيزه:د آسیا جغرافیا	Category:亚洲地理
وېشنيزه:جوماتونه	Category:清真寺
وېشنيزه:د ترکیې جوماتونه	Category:土耳其清真寺
وېشنيزه:دانټي رېټرووايرل درملونه	Category:抗逆转录病毒药物
وېشنيزه:انتي بيوتيکونه	Category:抗生素
وېشنيزه:مسکنونه	Category:止痛药
وېشنيزه:ميترو	Category:城市轨道交通
وېشنيزه:ددرمل شکل	Category:剂型
وېشنيزه:خبري اژانس	Category:通訊社
وېشنيزه:بشرِی حقوق	Category:人權
تورن	Captain
وېشنيزه:ناټو	Category:北大西洋公约组织
وېشنيزه:پوځي وييونه	Category:军事术语
وېشنيزه:غړي	Category:器官
وېشنيزه:وسلې	Category:武器
وېشنيزه:امريکايي سندرغاړي	Category:美国男歌手
وېشنيزه:بم غورځونکي الوتکې	Category:轰炸机
وېشنيزه:د بېټا-لاکټاماز انتي بيوتيکونه	Category:Β-内酰胺类抗生素
وېشنيزه:پاړسي ژبه	Category:波斯語
وېشنيزه:اېډز	Category:HIV/AIDS
وېشنيزه:قران	Category:古蘭經
وېشنيزه:ناروغۍ	Category:疾病
وېشنيزه:ترافيک ترانسپورت	Category:交通
وېشنيزه:لوبې	Category:各类体育运动
وېشنيزه:کورنۍ	Category:家庭
وېشنيزه:قضاء	Category:公平正義
وېشنيزه:سندرغاړي	Category:歌手
وېشنيزه:وټپوهان	Category:经济学家
کينډۍ:Flagcountry	Template:Flagcountry
کينډۍ:د ژبې مالوماتبکس	Template:Infobox Language
وېشنيزه:ځمکپوهان	Category:地理学家
وېشنيزه:ولسواکي	Category:民主
وېشنيزه:درمل	Category:药物
وېشنيزه:ټانکونه	Category:坦克
وېشنيزه:د آفریقا د هېوادونو پلازمېنې	Category:非洲首都
وېشنيزه:ايراني هڅوب	Category:伊朗文化
وېشنيزه:د رومانیا ښارونه	Category:罗马尼亚城市
وېشنيزه:کابل	Category:喀布爾
وېشنيزه:د آسیا د هېوادونو پلازمېنې	Category:亞洲首都
وېشنيزه:پښتانه	Category:普什圖人
وېشنيزه:چېکي واکمنان	Category:捷克君主
وېشنيزه:نړۍ	Category:世界
وېشنيزه:د مسراشمیت الوتکې	Category:梅塞施密特
وېشنيزه:د افغانستان ژبې	Category:阿富汗语言
وېشنيزه:هندوکش	Category:兴都库什山脉
وېشنيزه:هزاره ګان	Category:哈扎拉族
سيد انور رحمتي	薩伊迪·安瓦爾·拉赫馬蒂
وېشنيزه:د بانکوالی وییونه او اوزار	Category:銀行術語
وېشنيزه:شوبلې ضد وسلې	Category:反坦克导弹
کينډۍ:Dmbox	Template:Dmbox
وېشنيزه:مرکزي قبایلي سیمې	Category:聯邦直轄部落地區
وېشنيزه:معمر القذافي	Category:穆阿邁爾·格達費
کينډۍ:WPFCevent	Template:WPFCevent
وېشنيزه:کندهار	Category:坎大哈
وېشنيزه:د قاجاريانو حکمرانان	Category:卡扎爾王朝
وېشنيزه:افغاني ګوندونه	Category:阿富汗政党
کينډۍ:د هېواد مالومات اسپانيا	Template:Country data Spain
کينډۍ:د هېواد مالومات کاناډا	Template:Country data Canada
کينډۍ:د درملو لويې ډلې	Template:解剖学治疗学及化学分类系统
کينډۍ:د هېواد مالومات بربادوس	Template:Country data Barbados
کينډۍ:د هېواد مالومات ګرېنادا	Template:Country data Grenada
کينډۍ:د هېواد مالومات اردن	Template:Country data Jordan
کينډۍ:د هېواد مالومات قرغزستان	Template:Country data Kyrgyzstan
کينډۍ:د هېواد مالومات لېسوتو	Template:Country data Lesotho
کينډۍ:د هېواد مالومات لايبېريا	Template:Country data Liberia
کينډۍ:د هېواد مالومات ملاوي	Template:Country data Malawi
کينډۍ:د هېواد مالومات مالديپ	Template:Country data Maldives
کينډۍ:د هېواد مالومات ماورېشوس	Template:Country data Mauritius
کينډۍ:د هېواد مالومات مغولستان	Template:Country data Mongolia
کينډۍ:د هېواد مالومات نايجېر	Template:Country data Niger
کينډۍ:د هېواد مالومات فلسطين	Template:Country data Palestine
کينډۍ:د هېواد مالومات پورټو ريکو	Template:Country data Puerto Rico
کينډۍ:د هېواد مالومات راوانډا	Template:Country data Rwanda
کينډۍ:د هېواد مالومات سېراليون	Template:Country data Sierra Leone
کينډۍ:د هېواد مالومات سورينام	Template:Country data Suriname
کينډۍ:د هېواد مالومات سوريه	Template:Country data Syria
کينډۍ:د هېواد مالومات سېنگاپور	Template:Country data Singapore
کينډۍ:د هېواد مالومات يوگانډا	Template:Country data Uganda
کينډۍ:د هېواد مالومات ونواتو	Template:Country data Vanuatu
کينډۍ:د هېواد مالومات يمن	Template:Country data Yemen
کينډۍ:د هېواد مالومات زېمبيا	Template:Country data Zambia
کينډۍ:د هېواد مالومات اېرېتېريا	Template:Country data Eritrea
کينډۍ:Free media	Template:Free media
کينډۍ:رنگ مالوماتبکس	Template:Infobox color
وېشنيزه:د آسیا هېوادونه	Category:亚洲国家
کينډۍ:اسلامي ولسمشریزې	Template:伊斯兰共和国
کينډۍ:آډولف هېټلر	Template:希特勒
کينډۍ:پښتانه	Template:普什圖人
کينډۍ:پوځي رتبې	Template:MilitaryRank
کينډۍ:سياسي اندونه	Template:Ideologies
کينډۍ:Sw icon	Template:Sw icon
کينډۍ:د هېواد مالومات عربي ټولنه	Template:Country data Arab League
وېشنيزه:د القلوید مواد	Category:生物碱
وېشنيزه:خيبر پښتونخوا	Category:開伯爾普赫圖赫瓦省
وېشنيزه:باليووډ	Category:宝莱坞
کينډۍ:د هېواد مالومات لوېديځه سحارا	Template:Country data Western Sahara
کينډۍ:د هېواد مالومات د فالکلاند ټاپوان	Template:Country data Falkland Islands
نومونپوهنه	术语学
کينډۍ:د هېواد مالومات ګونې	Template:Country data Guinea
کينډۍ:د هېواد مالومات ګوينې بېساو	Template:Country data Guinea-Bissau
کينډۍ:وسله مالوماتبکس	Template:Infobox Weapon
کينډۍ:د هېواد مالومات آذربايجان-SSR	Template:Country data Azerbaijan SSR
کينډۍ:غوږ شه	Template:聽
کينډۍ:Duck	Template:Duck
وېشنيزه:سنډ	Category:信德省
وېشنيزه:د افغانستان لومړي وزيران	Category:阿富汗总理
وېشنيزه:امريکايي بم غورځونکي الوتکې	Category:美国轰炸机
کينډۍ:د هېواد مالومات مقدونيه	Template:Country data Republic of Macedonia
وېشنيزه:ليکتوکي	Category:文具
وېشنيزه:بسونه	Category:巴士型號
وېشنيزه:تصوف	Category:蘇非主義
وېشنيزه:ورکړېنې	Category:財稅
روژه (مياشت)	賴買丹月
وېشنيزه:امریکایی الوتکې	Category:美国军用飞机
وېشنيزه:امريکايي سندرغاړې	Category:美国女歌手
کينډۍ:د هېواد مالومات تانزانيا	Template:Country data Tanzania
وېشنيزه:ټراکټورونه	Category:拖拉機
کينډۍ:د هېواد مالومات سوماليا	Template:Country data Somalia
وېشنيزه:پاکستاني جوماتونه	Category:巴基斯坦清真寺
کينډۍ:Pp-dispute	Template:Pp-dispute
وېشنيزه:د چیک ولسمشران	Category:捷克总统
وېشنيزه:قراني سورتونه	Category:蘇拉
وېشنيزه:د لويديځ سلاوي ژبې	Category:西斯拉夫语支
کينډۍ:Infobox Language/IPA notice	Template:Infobox Language/IPA notice
وېشنيزه:User en-1	Category:En-1 使用者
وېشنيزه:د پاکستان ښارونه	Category:巴基斯坦省會
وېشنيزه:اسلامپوهان	Category:伊斯蘭研究學者
کينډۍ:نيمگړي کينډۍ	Template:Asbox
کينډۍ:Hlist	Template:Hlist
کينډۍ:Half done	Template:Half done
ويکيپېډيا:ځان زده کړه (د بحث مخونه)	Wikipedia:新手入門/討論
ويکيپېډيا:ځان زده کړه (په ياد ولره)	Wikipedia:新手入門/方針指引
کينډۍ:Userbox-level	Template:Userbox-level
دويم بريدمن	少尉
کينډۍ:User zh-min-nan-3	Template:User nan-3
ټنک ولسوالۍ	坦克县
کينډۍ:Tim	Template:Tim
کينډۍ:Supranational European Bodies	Template:Supranational European Bodies
ويکيپېډيا:ځان زده کړه (تړل او نور مالومات)	Wikipedia:新手入門/總結
ويکيپېډيا:ځان زده کړه (ثبتونه)	Wikipedia:新手入門/權限
ويکيپېډيا:ډ-ځ-پ/مخليدنه	Wikipedia:基本常见问题解答
د افغانستان پوځ	阿富汗军事
ويکيپېډيا:Infobox templates	Wikipedia:格式手册/信息框
کينډۍ:PoliticsAF	Template:阿富汗政治
کوکۍ	蝴蝶
کينډۍ:Native name	Template:Native name
مولۍ	萝卜
درملتون	藥房
هريپور ولسوالۍ	哈利普尔县
کينډۍ:Style/ril	Template:Style/ril
ويکيپېډيا:ډ-ځ-پ/لوستونکي	Wikipedia:读者常见问题解答
کينډۍ:Infobox Language/genetic2	Template:Infobox language/genetic
ويکيپېډيا:ډ-ځ-پ/بېلابېل	Wikipedia:综合常见问题解答
وېشنيزه:ويکيپيډيا وړې کينډۍ	Template:Done/See also
کينډۍ:Style/IPA	Template:Style/IPA
کينډۍ:Style/yid	Template:Style/yid
Module:Convert	模块:Convert
کينډۍ:د-ن-و-ا	Template:POTD
کينډۍ:وړکې ردېدنه	Template:Smallrejected
افغانستان او پاکستان کې د 2013 کال سېلابونه	2013年阿富汗和巴基斯坦洪灾
کينډۍ:د هېواد مالومات عمان	Template:Country data Oman
کينډۍ:د هېواد مالومات موزمبيق	Template:Country data Mozambique
کينډۍ:د هېواد مالومات کېمرون	Template:Country data Cameroon
Module:ConvertNumeric	模块:ConvertNumeric
کينډۍ:Infobox event	Template:Infobox event
ځانګړی:اوسني بدلونونه	Special:最近更改
Module:Coordinates	模块:Coordinates
د پېښور پر پوځي ښوونځي بريد	2014年白沙瓦學校襲擊事件
