ਅਫ਼ਰੀਕਾ	非洲
ਪਾਲ ਸਵੀਜੀ	保羅·斯威齊
ਵਿਸ਼ਵ ਮਹਾਂਸਾਗਰ	世界洋
ਏਸ਼ੀਆ ਦੇ ਦੇਸ਼ਾਂ ਦੀ ਸੂਚੀ	亚洲国家和地区列表
ਵਾਲਮੀਕ	蚁垤
ਫ਼ੌਜੀ ਕਨੂੰਨ	戒严
ਬੇਗਾਡਾਨ	贝加当
ਸ਼ਿਕਰਾ	褐耳鹰
ਕਾਬੀਲ ਅਤੇ ਹਾਬੀਲ	該隱與亞伯
ਕਲਾਸੀਕਲ ਗਿਟਾਰ	古典吉他
ਏਸ਼ੀਆ ਦੇ ਝੰਡੇ	亚洲旗帜列表
ਦ ਹੌਬਿਟ: ਦ ਡੈਸੋਲੇਸ਼ਨ ਆਫ਼ ਸਮੌਗ	霍比特人2：史矛革之战
ਲੰਕਾ	兰卡 (阿萨姆邦)
ਹਿੰਦੀ ਵਿਕੀਪੀਡੀਆ	印地語維基百科
ਅਸ਼ਵਮੇਧ	馬祭
ਜੇਟ ਏਅਰਵੇਜ਼	捷特航空
ਕੋਲਾਰ	戈拉尔
ਕਾਂਗੜਾ ਜ਼ਿਲਾ	坎格拉縣
ਰਿਗਵੇਦ	梨俱吠陀
ਕਮਿਊਨਿਟੀ	废柴联盟
ਸ਼ੁਜੀ ਨਾਕਾਮੁਰਾ	中村修二
ਫੁਮਲਹੌਤ ਬੀ	北落師門b
ਕਿਊਬਾਈ ਵਟਾਂਦਰਾਯੋਗ ਪੇਸੋ	古巴可兑换比索
ਓਗਰੇ, ਲਾਤਵੀਆ	奧格雷
ਹਕੀਮਉੱਲਾ ਮਹਿਸੂਦ	哈基穆拉·马哈苏德
ਰਾਜਮੋਹਨ ਗਾਂਧੀ	拉杰莫汉·甘地
ਉਖਰੁਲ ਜ਼ਿਲਾ	烏克魯爾縣
ਦਾਰਸ਼ਨਕ ਯਥਾਰਥਵਾਦ	實在論
ਲਸ਼ਕਰ-ਏ-ਤਈਬਾ	虔誠軍
ਸੰਧੂਰ	朱紅色
ਵਿਨੋਦ ਖੋਸਲਾ	維諾德·柯斯拉
ਚੰਦਰ ਸ਼ੇਖਰ ਆਜ਼ਾਦ	錢德拉·謝卡爾·阿扎德
ਕਸ਼ੁਦਰ ਗ੍ਰਹਿ	星形线
ਯੂਨੀਸੈਫ਼	联合国儿童基金会
ਨੈਸ਼ਨਲ ਪਾਰਟੀ (ਦੱਖਣੀ ਅਫ਼ਰੀਕਾ)	国民党 (南非)
ਇਸਤਾਦੀਓ ਐੱਲ ਮਾਦਰੀਗਾਲ	情歌球场
ਸਜਾਤੀ ਲੜੀ	同系物
ਨਵੀਨ ਆਲੋਚਨਾ	新批評
ਰੂਸੀ ਰੂਪਵਾਦ	俄罗斯形式主义
ਤਾਕਾਹਾਮਾ ਕਿਓਸ਼ੀ	高濱虛子
ਫ਼ਾਰਸੀ ਲਿਪੀ	波斯-阿拉伯字母系統
ਸਾਲਦੁਸ	薩爾杜斯
ਬੁਰਗੋਸ ਵੱਡਾ ਗਿਰਜਾਘਰ	布尔戈斯主教座堂
ਸ੍ਰੀਲੰਕਾ ਮਾਤਾ	母亲，斯里兰卡
ਕਾਸਾ ਵਿਸੇਂਸ	维森斯之家
ਆਇਤ ਅਲ-ਕੁਰਸੀ	寶座經文
ਬ੍ਰਹਮ	梵
ਕਿਰਤਾ	基尔塔
ਸਾਰਾਂਦੇ ਜ਼ਿਲਾ	潔蘭德區
ਗਲੋਕਲੀਕਰਨ	全球在地化
ਧੱਮਪਦ	法句經
ਛਿਲਾ	產後護理
ਯਾਸਨਾਇਆ ਪੋਲੀਆਨਾ	亞斯納亞-博利爾納
ਮਮਿਤ ਜ਼ਿਲਾ	马米特县
ਚਾਰ ਮਹਾਨ ਕਲਾਸੀਕਲ ਨਾਵਲ	四大小說名著
ਰਿਸ਼ੀ	仙人 (印度神话)
ਬੰਗਾਲੀ ਲਿਪੀ	孟加拉文
ਉੱਤਰੀ ਅਮਰੀਕਾ ਦੇ ਝੰਡੇ	北美洲旗帜列表
ਵਿਸ਼ਵ ਸ਼ਰਨਾਰਥੀ ਦਿਵਸ	世界难民日
ਕੁੱਕਰੇ	角膜炎
ਢੇਊ	野波罗蜜
ਸ਼ਿਕਾਰੀ ਦੇ ਸ਼ਬਦ ਚਿੱਤਰ	猎人笔记
ਗੜੀਮਾਈ ਤਿਉਹਾਰ	伽德希密节
ਨਵੋਈ	纳沃伊
ਓਮੁਸਾਟੀ	奧穆薩蒂區
ਹਾਰ ਸਿੰਗਾਰ	夜花
ਅਲੀਗੜ ਜ਼ਿਲ੍ਹਾ	阿里格爾縣
ਮਹਿੰਦੀ	曼海蒂
ਦੇਸੀ	德西
ਦੱਖਣੀ ਏਸ਼ੀਆ	南亚
ਸੰਸਾਰਪੁਰ	桑萨尔普尔
ਰਮੋਨ ਮੈਗਸੇਸੇ ਇਨਾਮ	拉蒙·麦格塞塞奖
ਅਸੀਰ ਰਿਆਸਤ	阿西尔省
ਅਸ਼ੋਕ ਦੇ ਫ਼ਰਮਾਨ	阿育王詔書
ਹੱਕ	权利
ਬੁਢਲਾਡਾ	布德拉达
ਇਕਪਾਸੜਵਾਦ	單邊主義
ਆਜ਼ਮਗੜ੍ਹ ਜ਼ਿਲਾ	阿桑加爾縣
ਵਿਅਕਤੀ	个体
ਬਾਬਰ	巴卑尔
ਏਸ਼ੀਆਈ ਕੋਇਲ	噪鹃
ਪਾਕਿਸਤਾਨ ਮੁਸਲਿਮ ਲੀਗ	巴基斯坦穆斯林联盟（谢里夫派）
ਬਾਲਤਿਸਤਾਨ	巴尔蒂斯坦
ਬਾਂਸਵਾੜਾ ਜ਼ਿਲ੍ਹਾ	班斯瓦拉縣
ਬਾਰਟੈਂਡਰ	調酒師
ਸੁਨਹਿਰੀ ਤਿਕੋਣ (ਦੱਖਣ-ਪੂਰਬੀ ਏਸ਼ੀਆ)	金三角
ਬੈਨਜ਼ਾਈਲ	苄基
ਗੰਗੋਤਰੀ	根戈德里
ਓਪੇਰਾ ਮਿਨੀ	Opera Mini
ਸੇਂਟ ਐਂਡਰਿਊਜ਼ ਸਟੇਡੀਅਮ	聖安德魯斯球場
ਭਾਰਤੀ ਰੇਲ	印度鐵路公司
ਇੱਕ ਸੇਲਜਮੈਨ ਦੀ ਮੌਤ	推銷員之死
ਪ੍ਰਗਤੀਵਾਦ	進步主義
ਪੈਟ੍ਰਿਕ ਥਿਸਲ ਫੁੱਟਬਾਲ ਕਲੱਬ	帕尔蒂克足球俱乐部
ਰਿਵਰਸਾਈਡ ਸਟੇਡੀਅਮ	河畔球場
ਐਗਜ਼ਿੱਟ ਪੋਲਜ਼	票站調查
ਤਕਨੀਕੀ ਸਿੱਖਿਆ	职业教育
ਹੱਵਾ	夏娃
ਗਲਪ ਲਈ ਪੁਲਿਤਜ਼ਰ ਪੁਰਸਕਾਰ	普立茲小說獎
ਖਰਖਰੀ	义膜性喉炎
ਹਵਾ ਮਹਿਲ	风之宫
ਸਮਾਜਕ ਯਥਾਰਥਵਾਦ	社会现实主义
ਭਾਰਤੀ ਕਮਿਊਨਿਸਟ ਪਾਰਟੀ	印度共产党
ਲਾਹੌਲ ਅਤੇ ਸਪੀਤੀ ਜ਼ਿਲ੍ਹਾ	拉胡爾和斯皮提縣
ਸਟ੍ਰੈਪਟੋਕੋਕਲ ਫੇਰਿਨਜਾਈਟਿਸ	链球菌性咽炎
ਕਚਨਾਰ	宮粉羊蹄甲
ਏਪੇ	重劍
ਓਬਲੋਮੋਵ	奥勃洛莫夫
ਨੋਕੀਆ 5800 ਐਕਸਪ੍ਰੇਸ ਮਿਊਜਿਕ	诺基亚 5800 XpressMusic
ਪੱਛਮੀ ਦਰਸ਼ਨ	西方哲学
ਅਬਾਦੀ ਪੱਖੋਂ ਢੁਕਵੇਂ ਸ਼ਹਿਰਾਂ ਦੀ ਸੂਚੀ	全球城市人口排名
ਸਾਇਆਨੇਟ	氰酸盐
ਤਨੀਂਥਾਰਾਈ ਮੰਡਲ	德林达依省
ਏਸ਼ੀਆਈ ਓਲੰਪਿਕ ਪਰਿਸ਼ਦ	亚洲奥林匹克理事会
ਕੁੰਤੀ	貢蒂
ਦੱਖਣੀ ਕੈਲੀਫ਼ੋਰਨੀਆ	南加利福尼亞州
ਪ੍ਰਸ਼ਾਂਤ ਟਾਪੂ	太平洋三大島群
ਕੱਛ ਦੀ ਖਾੜੀ	嘠奇灣
ਮਹਾਜਨਪਦ	印度列国时代
ਅਰਥਸ਼ਾਸਤਰ ਦਾ ਸ਼ਿਕਾਗੋ ਸਕੂਲ	芝加哥經濟學派
ਗ਼ੁਲਾਮ ਖ਼ਾਨਦਾਨ	庫特布沙希王朝
ਇਸ਼ਤਾਦਿਊ ਮੁਨਸਿਪਲ ਡੀ ਬ੍ਰਾਗਾ	布拉加市政球场
ਅਲਮੂਦੇਨਾ ਗਿਰਜਾਘਰ	阿穆德納聖母主教座堂
ਬਿਜਲਚੁੰਬਕਤਾ	電磁力
ਅਸ਼ਵਗੰਧਾ	睡茄
ਅਲਬਾਹਾ ਸੂਬਾ	巴哈省
ਨੈੱਟ ਨਿਰਪੱਖਤਾ	网络中立性
ਪੰਜਾਬੀ ਲੋਕ	旁遮普人
ਮਾਰਕਸੀ ਅਰਥਸ਼ਾਸਤਰ	马克思主义政治经济学
ਭੰਗੜਾ	巴恩格拉
ਨੰਦੇੜ	楠代德
ਵਿਸ਼ਵ ਜਨਸੰਖਿਆ ਦਿਵਸ	世界人口日
ਰੁਦਰ	楼陀罗
ਅੰਤਰਰਾਸ਼ਟਰੀ ਨ੍ਰਿਤ ਦਿਵਸ	世界舞蹈日
ਸਰਗੋਧਾ	萨戈达
ਸੰਸਾਰ ਰੇਖਾ	世界线
ਜਮੀਲਾ (ਨਾਵਲ)	查密莉雅
ਰਾਸ਼ਟਰਕੂਟ ਰਾਜਵੰਸ਼	罗湿陀罗拘陀
ਬ੍ਰਹਮੋਸ	布拉莫斯导弹
ਰੁਮਾਂਸ ਨਾਵਲ	愛情小說
ਬਜ ਬਜ	布德盖布德盖
ਆਵਾਰਾ (ਫ਼ਿਲਮ)	流浪者 (印度電影)
ਚੰਦੇਰੀ	钱德里
ਅ ਥਾਊਜੈਂਡ ਸਪਲੈਨਡਿਡ ਸਨਜ਼	灿烂千阳
ਜੋਫ਼ਖ਼ੁਆ-ਗੀਸ਼ਾਖ਼ ਸਟੇਡੀਅਮ	熱奧弗魯瓦基查爾球場
ਘਣ	立方數
ਬਿਠੂਰ	比托奥尔
ਬੰਨ੍ਹਵੀਂ ਖ਼ੁਰਾਕ	节食
ਵਾਲਡਨ	瓦尔登湖 (梭罗)
ਵਿਸ਼ਵ ਅਧਿਆਪਕ ਦਿਵਸ	世界教师日
ਈਸਪ ਦੀਆਂ ਕਹਾਣੀਆਂ	伊索寓言
ਕਾਰਡਿਫ਼ ਸਿਟੀ ਸਟੇਡੀਅਮ	卡迪夫城運動場
ਆਪੇਰਾ ਮੋਬਾਇਲ	Opera Mobile
ਬਲੂਮਫ਼ੀਲਡ ਰੋਡ	布隆菲尔德路球场
ਸੰਸਾਰ ਇਨਕਲਾਬ	世界革命
ਮੇਨ ਦੀ ਖਾੜੀ	缅因湾
ਸੈਕਸ ਆਨ ਦ ਬੀਚ	性感海滩
ਦੁਨੀਆਂ ਭਰ ਦੇ ਮਜਦੂਰੋ ਇੱਕ ਹੋ ਜਾਓ!	全世界无产者，联合起来！
ਮਾਇਆ ਦੇਵੀ	摩耶夫人
ਹਿੰਦੂ ਮਿਥਿਹਾਸ	印度神话
ਇਟਾਵਾ	埃塔瓦
ਚਿਤਰਾਲ ਜਿਲਾ	奇特拉尔县
ਆਧੁਨਿਕਤਾਵਾਦ	現代主義
ਚੀਕਾ	切埃卡
ਬਲੱਡ ਮਨੀ	血腥钱
੨੦੦੭-੨੦੦੮ ਦਾ ਮਾਲੀ ਸੰਕਟ	2007年–2008年環球金融危機
ਖ਼ਾਲਿਸਤਾਨ	卡利斯坦运动
ਚੋਣ ਪਰਚੀ	選票
ਟਰਾਂਸਨਿਸਤਰੀਆ	德涅斯特河沿岸
ਕਲੰਕ (ਨਾਵਲ)	红字
ਦ ਡੈਨ	尼尔球场
ਨਕਸਲੀ	纳萨尔派
ਜਟਾਮਾਂਸੀ	蜘蛛香
ਦੱਖਣੀ ਅਮਰੀਕਾ ਦੇ ਦੇਸ਼	南美洲国家和地区列表
ਸੰਗ	害羞
ਮਦਦ:ਵਿਸ਼ਾ-ਵਸਤੂ	Help:目录
ਵਧਾਈ ਪੱਤਰ	問候卡
ਲਕਸ਼ਮਣ	羅什曼那
ਖ਼ਿਲਜੀ ਖ਼ਾਨਦਾਨ	卡爾吉王朝
ਬੂਥੀਆ ਦੀ ਖਾੜੀ	布西亞灣
੨੦੦੮ ਓਲੰਪਿਕ ਖੇਡਾਂ ਦੇ ਵਿੱਚ ਕੁਸ਼ਤੀ – ਪੁਰਸ਼ਾਂ ਦੀ ਫ੍ਰੀਸਟਾਇਲ ੮੪ ਕਿਲੋਗਰਾਮ	2008年夏季奧林匹克運動會摔跤比賽 - 男子自由式84公斤級
ਆਤਾਪੁਐਰਕਾ ਪਹਾੜ	阿塔普埃尔卡山
ਦ ਹਿੰਦੂ	印度教徒報
ਇਤਾਲਵੀ ਸਾਮਰਾਜ	意大利殖民地
ਇਟਾਰਸੀ	伊塔尔西
ਹੁਸ਼ਿਆਰਪੁਰ	霍斯希亚尔普尔
ਗੁਜਰਾਤ (ਪਾਕਿਸਤਾਨ)	古傑拉特
﻿ਸਜਦਾ	蘇朱德
ਪਦਮਾ ਦਰਿਆ	博多河
ਰਣਨੀਤਕ ਯੋਜਨਾਬੰਦੀ	战略计划
ਪਦਮ ਭੂਸ਼ਣ	莲花装勋章
ਫ਼ੋਨਸੇਕਾ ਦੀ ਖਾੜੀ	豐塞卡灣
ਝਰਨਿਆਂ ਦੀ ਸੂਚੀ	瀑布列表
ਪੰਡੋਰਾ ਦਾ ਡੱਬਾ	潘朵拉的盒子
ਬਿਸ਼ਣੁਪੁਰ ਜ਼ਿਲਾ	比希努普縣
ਉਂਨਾਵ	乌纳奥
ਕੇਸੂ	紫矿
ਭਾਰਤੀ ਰਿਜ਼ਰਵ ਬੈਂਕ	印度储备银行
ਭਾਰਤੀ ਵਿਗਿਆਨ ਅਦਾਰਾ	印度科學理工學院
ਪਦਮ ਸ਼੍ਰੀ	莲花士勋章
ਲੱਖ	拉克
ਰਾਹੂ	罗睺
ਦੱਖਣ-ਪੱਛਮੀ ਅਫ਼ਰੀਕਾ	西南非
ਕੌਂਚ ਫਲੀ	刺毛黧豆
ਦ ਵੈਲੀ (ਲੰਡਨ)	山谷球場
ਆਰਤਤਮ 1	阿尔塔塔马一世
ਸਾਧੂ ਸੁੰਦਰ ਸਿੰਘ	孫大信
ਰੋਹਤਕ ਜ਼ਿਲਾ	羅塔克縣
ਗੂਡੀਸਨ ਪਾਰਕ	葛迪遜公園球場
ਅਰਜਨਟੀਨੀ ਸਮੁੰਦਰ	阿根廷海
ਸ਼ੇਖ਼ੂਪੁਰਾ	謝胡布爾
ਸਿੱਖਿਆ (ਭਾਰਤ)	印度教育
ਕੀਮੋਥੇਰੇਪੀ	化学疗法
ਐਲਨ ਟੇਟ	艾伦·泰特
ਕੁਰਕਸ਼ੇਤਰ ਜ਼ਿਲਾ	庫盧謝特拉縣
ਰਘੁਰਾਮ ਰਾਜਨ	拉古拉姆·拉詹
ਯੁਧਿਸ਼ਟਰ	堅戰
ਮਾਈਕਲ ਪਰਹਾਮ	迈克尔·佩勒姆
ਗੋਰਖਨਾਥ	郭拉洽
ਤੋਮਾਂ ਪਿਕੇਤੀ	湯瑪斯·皮克提
ਤੁੰਮੂਨ	屯門區
ਲਾਸ਼ ਵਿੱਚ ਕੜਵੱਲ (Cadaveric Spasm)	死後抽搐
ਲੋਕ ਸਾਹਿਤ	口头文学
ਲਹੂ ਨਾੜ	血管
ਕਸੂਰ (ਸ਼ਹਿਰ)	卡蘇爾
ਬਾਤਾਂ ਪਾਉਣਾ	故事
ਚੋਣਵੀਂ ਨਸਲਕਸ਼ੀ	人工選擇
ਸ਼ਿਰੋਮਣੀ (ਦਰਸ਼ਨ)	崇高
ਉਬਾਲ ਦਰਜਾ	沸点
ਫ਼ਾਰਸ ਸੂਬਾ	法爾斯省
੨੦੦੮ ਓਲੰਪਿਕ ਖੇਡਾਂ ਦੇ ਵਿੱਚ ਕੁਸ਼ਤੀ – ਪੁਰਸ਼ਾਂ ਦੀ ਫ੍ਰੀਸਟਾਇਲ ੫੫ ਕਿਲੋਗਰਾਮ	2008年夏季奧林匹克運動會摔跤比賽—男子自由式55公斤級
੨੦੦੮ ਓਲੰਪਿਕ ਖੇਡਾਂ ਦੇ ਵਿੱਚ ਕੁਸ਼ਤੀ – ਪੁਰਸ਼ਾਂ ਦੀ ਗ੍ਰੈਕੋ-ਰੋਮਨ ੫੫ ਕਿਲੋਗਰਾਮ	2008年夏季奧林匹克運動會摔跤比賽—男子古典式55公斤級
੨੦੦੮ ਓਲੰਪਿਕ ਖੇਡਾਂ ਦੇ ਵਿੱਚ ਕੁਸ਼ਤੀ – ਪੁਰਸ਼ਾਂ ਦੀ ਗ੍ਰੈਕੋ-ਰੋਮਨ ੬੬ ਕਿਲੋਗਰਾਮ	2008年夏季奧林匹克運動會摔跤比賽—男子古典式60公斤級
੨੦੦੮ ਓਲੰਪਿਕ ਖੇਡਾਂ ਦੇ ਵਿੱਚ ਕੁਸ਼ਤੀ – ਪੁਰਸ਼ਾਂ ਦੀ ਗ੍ਰੈਕੋ-ਰੋਮਨ ੭੪ ਕਿਲੋਗਰਾਮ	2008年夏季奧林匹克運動會摔跤比賽—男子古典式74公斤級
੨੦੦੮ ਓਲੰਪਿਕ ਖੇਡਾਂ ਦੇ ਵਿੱਚ ਕੁਸ਼ਤੀ – ਪੁਰਸ਼ਾਂ ਦੀ ਫ੍ਰੀਸਟਾਇਲ ੭੪ ਕਿਲੋਗਰਾਮ	2008年夏季奧林匹克運動會摔跤比賽—男子自由式74公斤級
੨੦੦੮ ਓਲੰਪਿਕ ਖੇਡਾਂ ਦੇ ਵਿੱਚ ਕੁਸ਼ਤੀ – ਪੁਰਸ਼ਾਂ ਦੀ ਗ੍ਰੈਕੋ-ਰੋਮਨ ੮੪ ਕਿਲੋਗਰਾਮ	2008年夏季奧林匹克運動會摔跤比賽—男子古典式84公斤級
੨੦੦੮ ਓਲੰਪਿਕ ਖੇਡਾਂ ਦੇ ਵਿੱਚ ਕੁਸ਼ਤੀ – ਪੁਰਸ਼ਾਂ ਦੀ ਗ੍ਰੈਕੋ-ਰੋਮਨ ੯੬ ਕਿਲੋਗਰਾਮ	2008年夏季奧林匹克運動會摔跤比賽—男子古典式96公斤級
ਗ਼ਾਜ਼ੀਪੁਰ	加齐普尔
ਗੰਧਾਰ ਕਲਾ	希臘式佛教藝術
ਗੋਲਡਨ ਗਲੋਬ ਇਨਾਮ	金球獎
ਸਹੀ ਅਲ ਬੁਖ਼ਾਰੀ	布哈里聖訓
ਮੁਲਕ ਅਤੇ ਸਰਕਾਰ ਦੇ ਵਰਤਮਾਨ ਮੁਖੀਆਂ ਦੀ ਸੂਚੀ	各国领导人列表
ਨਾਭਾ	纳巴
ਕਰਾਈਕੁੜੀ	卡赖库迪
ਜਾਲੌਰ	贾洛尔
ਕੁਰਸਿਆਂਗ	库尔塞奥恩格
ਸ਼ਾਂਤੀ ਨਿਕੇਤਨ	桑蒂尼盖登
ਕਾਲਕਾ	卡尔卡
ਨੈਣਾ ਦੇਵੀ	奈纳德维
ਫਰਮਾ:ਸਥਿਤੀ ਨਕਸ਼ਾ ਸ੍ਰੀਲੰਕਾ	Template:Location map Sri Lanka
ਹਾਈਪੋਥਰਮੀਆ	低体温症
ਫ਼ੀਲੇ (ਪੁਲਾੜੀ ਜਹਾਜ਼)	菲萊登陸器
ਸ਼ਾਰਲੀ ਐਬਦੋ	查理周刊
ਗਨ ਦਰਿਆ	赣江
ਇਸਲਾਮੀ ਦਾਵਾ ਪਾਰਟੀ	达瓦党
ਦੈਂਤ	羅剎
ਵਟਸਐਪ	WhatsApp
ਹਸਤੀ ਦੇ ਤਿੰਨ ਨਿਸ਼ਾਨ	三相 (佛教)
ਧਰਮ ਲੋਕਾਂ ਦੀ ਅਫੀਮ ਹੈ	精神鸦片
ਗੈਲਾਡੈੱਟ ਯੂਨੀਵਰਸਿਟੀ	高立德大學
ਮਨੁੱਖੀ ਸੰਸਾਧਨ ਪ੍ਰਬੰਧਨ	人力资源管理
ਦ ਕਾਈਟ ਰਨਰ (ਫ਼ਿਲਮ)	追风筝的人 (电影)
ਨਵ-ਮਾਰਕਸਵਾਦ	新馬克思主義
ਚੰਬਾ ਜ਼ਿਲ੍ਹਾ	昌巴縣
ਚੰਬਲ ਦਰਿਆ	昌巴爾河
ਯਾਹੂ! ਜਵਾਬ	Yahoo!知識+
ਪਾਤਾਗੋਨੀਆ ਮਾਰੂਥਲ	巴塔哥尼亞沙漠
ਜਮਾਤੀ ਚੇਤਨਾ	階級意識
ਸੈੱਲਹਰਸਟ ਪਾਰਕ	塞尔赫斯特公园球场
ਮਾਲੀ ਕੇਂਦਰ	国际金融中心
ਉਰਦੂ ਵਿਕੀਪੀਡੀਆ	乌尔都语维基百科
ਲੋਕ ਮੱਤ	民间宗教
ਏਸ਼ੀਆ-ਪ੍ਰਸ਼ਾਂਤ	亚太地区
ਅੰਤਰਰਾਸ਼ਟਰੀ	国际
ਸਫ਼ਰਨਾਮਾ	遊記
ਚਿਪਕੋ ਅੰਦੋਲਨ	抱树运动
ਕੀਗੋ	季語
ਜੂਲੀਅਟ	朱麗葉·凱普萊特
ਭਾਰਤ ਦਾ ਆਜ਼ਾਦੀ ਸੰਗਰਾਮ	印度独立运动
ਰੂਦਿਨ	罗亭
ਖੰਨਾ	卡纳
ਕੈਨੇਡੀਆਈ ਡਾਲਰ	加拿大元
ਅਲ-ਕਸੀਮ ਸੂਬਾ	盖西姆省
ਸਤੀਸ਼ ਕੁਮਾਰ	薩提斯·庫瑪
ਸਾਨ ਰੋਮਾਨ ਗਿਰਜਾਘਰ	圣罗曼教堂 (托莱多)
ਗੁਣਨਖੰਡ ਥਿਊਰਮ	因式定理
ਚਮਾਰ	恰马尔
ਪੇਸ਼ਾਵਰ	白沙瓦
ਰਾਸ਼ਟਰਮੰਡਲ ਖੇਡਾਂ 2014	2014年英聯邦運動會
ਤੋਲੇਦੋ ਵੱਡਾ ਗਿਰਜਾਘਰ	托莱多主教座堂
ਤੁਗਲਕ ਖ਼ਾਨਦਾਨ	圖格魯克王朝
ਮੇਘਨਾ ਦਰਿਆ	梅克納河
ਮਿੱਥ ਆਫ਼ ਸਿਸੀਫਸ	薛西弗斯神话
ਸਬਜੀਆਂ ਦੀ ਸੂਚੀ	蔬菜列表
ਲੀਡਸ ਯੁਨਾਈਟਡ ਫੁੱਟਬਾਲ ਕਲੱਬ	列斯聯足球會
ਖੁੱਲ੍ਹਾ-ਸਰੋਤ ਸਾਫ਼ਟਵੇਅਰ	开源软件
ਲਿਵਰਪੂਲ ਫੁੱਟਬਾਲ ਕਲੱਬ	利物浦足球俱乐部
ਨਸਤਾਲੀਕ ਲਿਪੀ	波斯体
ਭਾਰਤ ਦੀਆਂ ਆਮ ਚੋਣਾਂ 2009	2009年印度议会选举
ਦਰਭੰਗਾ	达尔邦格阿
ਠੱਗ	图基教
ਗੋਗੜ	肚腩贅肉
ਪਿਟੋਡਰੀ ਸਟੇਡੀਅਮ	皮托德里球場
ਕਾਮਤ ਪਹਾੜ	卡密特山
ਵਾਬੀ-ਸਾਬੀ	侘寂
ਪੰਚਾਇਤੀ ਰਾਜ	潘查亚特制度
ਚੰਪਾ	含笑属
ਸਰਪਗੰਧਾ	蛇根木
ਕੋਲਕਾਤਾ ਯੂਨੀਵਰਸਿਟੀ	加尔各答大学
ਸਤਪੁੜਾ	薩特布拉山脈
ਯੂਨੀਵਰਸਿਟੀ ਆਫ਼ ਟੈਕਨਾਲੋਜੀ, ਸਿਡਨੀ	悉尼科技大学
ਯਸ਼ਪਾਲ	耶谢巴尔
ਸ਼ੈਲੇਂਦਰ ਰਾਜਵੰਸ਼	夏连特拉王国
ਸੰਘਣੀ ਖੇਤੀ	精耕细作
ਸੰਪ੍ਰਤੀ	三钵罗底
ਐਰੋਬਿਕਸ (ਕਸਰਤ)	有氧运动
ਦਕਸ਼ਿਣੇਸਵਰ ਮੰਦਰ	达克希涅斯瓦寺
ਟਾਹਲੀ	印度黄檀
ਖਰੋਸ਼ਠੀ	佉卢文
ਸਿਆਣਿਆਂ ਦੇ ਤੋਹਫ਼ੇ	麦琪的礼物
ਸਗਰਾਤ ਕੁਰ	圣心圣殿 (巴塞罗那)
ਵੈਨਕੂਵਰ ਸਕੂਲ ਬੋਰਡ	溫哥華教育局
ਡੇਰਾ ਬਾਬਾ ਨਾਨਕ	德拉巴巴纳纳克
X ਬੈਂਡ	X波段
ਰਾਖਵਾਂ ਸ਼ਬਦ	保留字
ਗੰਢ ਭੇਜਣਾ	喜帖
ਚਿਤਰਕੂਟ	奇特拉科奥特
ਸੋਨਮ ਕਪੂਰ	松楠·卡浦爾
ਦੋਰਾਹਾ	达罗哈
ਲੂੰਬੜੀ ਅਤੇ ਅੰਗੂਰ	狐狸與葡萄
ਸਾਮਰਾਜਵਾਦ, ਪੂੰਜੀਵਾਦ ਦੀ ਅੰਤਿਮ ਅਵਸਥਾ	帝国主义是资本主义的最高阶段
ਇਕਾਂਗੀ	独幕剧
੨੦੦੮ ਓਲੰਪਿਕ ਖੇਡਾਂ ਦੇ ਵਿੱਚ ਕੁਸ਼ਤੀ – ਮਹਿਲਾਵਾਂ ਦੀ ਫ੍ਰੀਸਟਾਇਲ ੬੩ ਕਿਲੋਗਰਾਮ	2008年夏季奧林匹克運動會摔跤比賽—女子自由式63公斤級
ਵੇਕਫ਼ੀਲਡ ਦਾ ਪਾਦਰੀ	威克菲德的牧師
ਪੈਗੰਬਰ (ਕਿਤਾਬ)	先知 (诗歌)
ਟੱਬਰ, ਨਿੱਜੀ ਜਾਇਦਾਦ ਅਤੇ ਰਾਜ ਦੀ ਉਤਪਤੀ	家庭、私有制和国家的起源
ਤਾਂਬੇ ਦਾ ਘੋੜ ਸਵਾਰ (ਕਵਿਤਾ)	青铜骑士
ਗੌਫ਼ਰੀਨਾ	千日紅
ਇਤਿਹਾਸ ਮੈਨੂੰ ਬਰੀ ਕਰ ਦੇਵੇਗਾ	历史将宣判我无罪
ਕਸਾੱਕ (ਨਾਵਲ)	哥薩克 (小說)
ਮਦਰ (1926 ਫਿਲਮ)	母亲 (1926年电影)
ਨਵਾਬ	納瓦卜
ਦ ਗੁੱਡ ਅਰਥ	大地 (小说)
ਜਰਮਨੀ ਦੇ ਰਾਜ	联邦州 (德国)
ਓਪੇਰਾ (ਗੁੰਝਲ ਖੋਲ੍ਹ)	Opera (消歧義)
ਮਦਦ:IPA	Wikipedia:國際音標
ਹੈਦਰਾਬਾਦ ਸਟੇਟ	海得拉巴 (土邦)
ਬਟੇਨੁਮਾ ਸੰਖਿਆ	有理数
ਸੋਨੇ ਦੀ ਮੱਛੀ ਤੇ ਮਾਹੀਗੀਰ	渔夫和金鱼的故事
ਜੂਡ	无名的裘德
ਹਵਾਈ ਅੱਡਾ	機場
ਮੈਕਸਿਮ ਗੋਰਕੀ ਸਾਹਿਤ ਇੰਸਟੀਚਿਊਟ	高尔基文学院
ਚਿਲੀਆਈ ਸਾਗਰ	智利海
ਚਕਵਾਲ	傑格瓦爾
