আফ্রিকা	非洲
বিষয়শ্রেণী:১৭৭৪-এ মৃত্যু	Category:1774年逝世
বিষয়শ্রেণী:১৭৭৬	Category:1776年
বিষয়শ্রেণী:১৭৭৭	Category:1777年
বিষয়শ্রেণী:১৭৭৯-এ মৃত্যু	Category:1779年逝世
বিষয়শ্রেণী:১৭৮১	Category:1781年
বিষয়শ্রেণী:১৭৮২	Category:1782年
বিষয়শ্রেণী:১৭৮৩	Category:1783年
বিষয়শ্রেণী:১৭৮৪	Category:1784年
বিষয়শ্রেণী:১৭৮৬	Category:1786年
বিষয়শ্রেণী:১৭৮৮	Category:1788年
বিষয়শ্রেণী:১৭৯০	Category:1790年
বিষয়শ্রেণী:১৭৯১	Category:1791年
টেমপ্লেট:সংশ্লিষ্ট প্রবেশদ্বার উপদান	Template:Related portal item
বিষয়শ্রেণী:১৭৯১-এ মৃত্যু	Category:1791年逝世
বিষয়শ্রেণী:১৭৯২	Category:1792年
বিষয়শ্রেণী:১৭৯২-এ মৃত্যু	Category:1792年逝世
বিষয়শ্রেণী:১৭৯৪	Category:1794年
বিষয়শ্রেণী:১৭৯৫	Category:1795年
বিষয়শ্রেণী:১৭৯৬-এ মৃত্যু	Category:1796年逝世
বিষয়শ্রেণী:১৭৯৭-এ মৃত্যু	Category:1797年逝世
বিষয়শ্রেণী:১৭৯৮	Category:1798年
বিষয়শ্রেণী:১৭৯৯	Category:1799年
বিষয়শ্রেণী:১৮০০	Category:1800年
বিষয়শ্রেণী:১৮০০-এ মৃত্যু	Category:1800年逝世
বিষয়শ্রেণী:১৮০১	Category:1801年
বিষয়শ্রেণী:১৮০২	Category:1802年
বিষয়শ্রেণী:১৮০২-এ জন্ম	Category:1802年出生
বিষয়শ্রেণী:১৮০৩	Category:1803年
বিষয়শ্রেণী:১৮০৩-এ মৃত্যু	Category:1803年逝世
বিষয়শ্রেণী:১৮০৪	Category:1804年
বিষয়শ্রেণী:১৮০৪-এ মৃত্যু	Category:1804年逝世
বিষয়শ্রেণী:১৮০৫	Category:1805年
বিষয়শ্রেণী:১৮০৫-এ মৃত্যু	Category:1805年逝世
বিষয়শ্রেণী:১৮০৬	Category:1806年
বিষয়শ্রেণী:১৮০৬-এ মৃত্যু	Category:1806年逝世
বিষয়শ্রেণী:১৮০৭	Category:1807年
বিষয়শ্রেণী:১৮০৭-এ মৃত্যু	Category:1807年逝世
বিষয়শ্রেণী:১৮০৮-এ মৃত্যু	Category:1808年逝世
বিষয়শ্রেণী:১৮০৯	Category:1809年
বিষয়শ্রেণী:১৮১০	Category:1810年
বিষয়শ্রেণী:১৮১০-এ মৃত্যু	Category:1810年逝世
বিষয়শ্রেণী:১৮১১	Category:1811年
বিষয়শ্রেণী:১৮১১-এ জন্ম	Category:1811年出生
বিষয়শ্রেণী:১৮১১-এ মৃত্যু	Category:1811年逝世
বিষয়শ্রেণী:১৮১২-এ মৃত্যু	Category:1812年逝世
বিষয়শ্রেণী:১৮১৩	Category:1813年
বিষয়শ্রেণী:১৮১৩-এ মৃত্যু	Category:1813年逝世
বিষয়শ্রেণী:১৮১৪	Category:1814年
বিষয়শ্রেণী:১৮১৪-এ মৃত্যু	Category:1814年逝世
বিষয়শ্রেণী:১৮১৫	Category:1815年
বিষয়শ্রেণী:১৮১৫-এ মৃত্যু	Category:1815年逝世
বিষয়শ্রেণী:১৮১৬	Category:1816年
বিষয়শ্রেণী:১৮১৬-এ মৃত্যু	Category:1816年逝世
বিষয়শ্রেণী:১৮১৭-এ মৃত্যু	Category:1817年逝世
বিষয়শ্রেণী:১৮১৮	Category:1818年
বিষয়শ্রেণী:১৮১৮-এ মৃত্যু	Category:1818年逝世
বিষয়শ্রেণী:১৮১৯	Category:1819年
বিষয়শ্রেণী:১৮১৯-এ মৃত্যু	Category:1819年逝世
বিষয়শ্রেণী:১৮২০	Category:1820年
বিষয়শ্রেণী:১৮২০-এ মৃত্যু	Category:1820年逝世
বিষয়শ্রেণী:১৮২১-এ মৃত্যু	Category:1821年逝世
বিষয়শ্রেণী:১৮২৩	Category:1823年
বিষয়শ্রেণী:১৮২৪-এ মৃত্যু	Category:1824年逝世
বিষয়শ্রেণী:১৮২৫-এ মৃত্যু	Category:1825年逝世
বিষয়শ্রেণী:১৮২৭	Category:1827年
বিষয়শ্রেণী:১৮২৮-এ মৃত্যু	Category:1828年逝世
বিষয়শ্রেণী:১৮৩০	Category:1830年
বিষয়শ্রেণী:১৮৩১-এ মৃত্যু	Category:1831年逝世
বিষয়শ্রেণী:১৮৩২-এ মৃত্যু	Category:1832年逝世
বিষয়শ্রেণী:১৮৩৩-এ মৃত্যু	Category:1833年逝世
বিষয়শ্রেণী:১৮৩৪	Category:1834年
বিষয়শ্রেণী:১৮৩৪-এ মৃত্যু	Category:1834年逝世
বিষয়শ্রেণী:১৮৩৫	Category:1835年
বিষয়শ্রেণী:১৮৩৬	Category:1836年
বিষয়শ্রেণী:১৮৩৬-এ মৃত্যু	Category:1836年逝世
বিষয়শ্রেণী:১৮৩৭-এ মৃত্যু	Category:1837年逝世
বিষয়শ্রেণী:১৮৩৮	Category:1838年
বিষয়শ্রেণী:১৮৩৮-এ মৃত্যু	Category:1838年逝世
বিষয়শ্রেণী:১৮৩৯	Category:1839年
বিষয়শ্রেণী:১৮৪০	Category:1840年
বিষয়শ্রেণী:১৮৪০-এ মৃত্যু	Category:1840年逝世
বিষয়শ্রেণী:১৮৪১-এ মৃত্যু	Category:1841年逝世
বিষয়শ্রেণী:১৮৪২	Category:1842年
বিষয়শ্রেণী:১৮৪২-এ মৃত্যু	Category:1842年逝世
বিষয়শ্রেণী:১৮৪৩	Category:1843年
বিষয়শ্রেণী:১৮৪৩-এ মৃত্যু	Category:1843年逝世
বিষয়শ্রেণী:১৮৪৪-এ মৃত্যু	Category:1844年逝世
বিষয়শ্রেণী:১৮৪৫-এ মৃত্যু	Category:1845年逝世
বিষয়শ্রেণী:১৮৪৬	Category:1846年
বিষয়শ্রেণী:১৮৪৬-এ মৃত্যু	Category:1846年逝世
বিষয়শ্রেণী:১৮৪৭	Category:1847年
বিষয়শ্রেণী:১৮৪৭-এ মৃত্যু	Category:1847年逝世
বিষয়শ্রেণী:১৮৪৮	Category:1848年
বিষয়শ্রেণী:১৮৪৯	Category:1849年
বিষয়শ্রেণী:১৮৪৯-এ মৃত্যু	Category:1849年逝世
বিষয়শ্রেণী:১৮৫০-এ মৃত্যু	Category:1850年逝世
বিষয়শ্রেণী:১৮৫১	Category:1851年
বিষয়শ্রেণী:১৮৫১-এ মৃত্যু	Category:1851年逝世
বিষয়শ্রেণী:১৮৫২	Category:1852年
বিষয়শ্রেণী:১৮৫৩	Category:1853年
বিষয়শ্রেণী:১৮৫৩-এ মৃত্যু	Category:1853年逝世
বিষয়শ্রেণী:১৮৫৪	Category:1854年
বিষয়শ্রেণী:১৮৫৪-এ মৃত্যু	Category:1854年逝世
বিষয়শ্রেণী:১৮৫৫-এ মৃত্যু	Category:1855年逝世
বিষয়শ্রেণী:১৮৫৬	Category:1856年
বিষয়শ্রেণী:১৮৫৬-এ মৃত্যু	Category:1856年逝世
বিষয়শ্রেণী:১৮৫৭	Category:1857年
বিষয়শ্রেণী:১৮৫৭-এ মৃত্যু	Category:1857年逝世
বিষয়শ্রেণী:১৮৫৮	Category:1858年
বিষয়শ্রেণী:১৮৫৮-এ মৃত্যু	Category:1858年逝世
বিষয়শ্রেণী:১৮৫৯	Category:1859年
বিষয়শ্রেণী:১৮৫৯-এ মৃত্যু	Category:1859年逝世
বিষয়শ্রেণী:১৮৬০	Category:1860年
বিষয়শ্রেণী:১৮৬০-এ মৃত্যু	Category:1860年逝世
বিষয়শ্রেণী:১৮৬১	Category:1861年
বিষয়শ্রেণী:১৮৬১-এ মৃত্যু	Category:1861年逝世
বিষয়শ্রেণী:১৮৬২	Category:1862年
বিষয়শ্রেণী:১৮৬২-এ মৃত্যু	Category:1862年逝世
বিষয়শ্রেণী:১৮৬৩	Category:1863年
বিষয়শ্রেণী:১৮৬৪	Category:1864年
বিষয়শ্রেণী:১৮৬৪-এ মৃত্যু	Category:1864年逝世
বিষয়শ্রেণী:১৮৬৫	Category:1865年
বিষয়শ্রেণী:১৮৬৫-এ মৃত্যু	Category:1865年逝世
বিষয়শ্রেণী:১৮৬৬	Category:1866年
বিষয়শ্রেণী:১৮৬৬-এ মৃত্যু	Category:1866年逝世
বিষয়শ্রেণী:১৮৬৭-এ মৃত্যু	Category:1867年逝世
বিষয়শ্রেণী:১৮৬৮	Category:1868年
বিষয়শ্রেণী:১৮৬৯	Category:1869年
বিষয়শ্রেণী:১৮৬৯-এ মৃত্যু	Category:1869年逝世
বিষয়শ্রেণী:১৮৭০	Category:1870年
বিষয়শ্রেণী:১৮৭০-এ মৃত্যু	Category:1870年逝世
বিষয়শ্রেণী:১৮৭১	Category:1871年
বিষয়শ্রেণী:১৮৭১-এ মৃত্যু	Category:1871年逝世
বিষয়শ্রেণী:১৮৭২	Category:1872年
বিষয়শ্রেণী:১৮৭২-এ মৃত্যু	Category:1872年逝世
বিষয়শ্রেণী:১৮৭৩-এ মৃত্যু	Category:1873年逝世
বিষয়শ্রেণী:১৮৭৪	Category:1874年
বিষয়শ্রেণী:১৮৭৫	Category:1875年
বিষয়শ্রেণী:১৮৭৬	Category:1876年
বিষয়শ্রেণী:১৮৭৬-এ মৃত্যু	Category:1876年逝世
বিষয়শ্রেণী:১৮৭৭	Category:1877年
বিষয়শ্রেণী:১৮৭৭-এ মৃত্যু	Category:1877年逝世
বিষয়শ্রেণী:১৮৭৮-এ মৃত্যু	Category:1878年逝世
বিষয়শ্রেণী:১৮৭৯	Category:1879年
বিষয়শ্রেণী:১৮৭৯-এ মৃত্যু	Category:1879年逝世
বিষয়শ্রেণী:১৮৮০	Category:1880年
বিষয়শ্রেণী:১৮৮১	Category:1881年
বিষয়শ্রেণী:১৮৮২	Category:1882年
বিষয়শ্রেণী:১৮৮৩	Category:1883年
বিষয়শ্রেণী:১৮৮৪	Category:1884年
বিষয়শ্রেণী:১৮৮৫	Category:1885年
বিষয়শ্রেণী:১৮৮৫-এ মৃত্যু	Category:1885年逝世
বিষয়শ্রেণী:১৮৮৬	Category:1886年
বিষয়শ্রেণী:১৮৮৬-এ মৃত্যু	Category:1886年逝世
বিষয়শ্রেণী:১৮৮৭	Category:1887年
বিষয়শ্রেণী:১৮৮৭-এ মৃত্যু	Category:1887年逝世
বিষয়শ্রেণী:১৮৮৯	Category:1889年
বিষয়শ্রেণী:১৮৮৯-এ মৃত্যু	Category:1889年逝世
বিষয়শ্রেণী:১৮৯০	Category:1890年
বিষয়শ্রেণী:১৮৯০-এ মৃত্যু	Category:1890年逝世
বিষয়শ্রেণী:১৮৯১	Category:1891年
বিষয়শ্রেণী:১৮৯১-এ মৃত্যু	Category:1891年逝世
বিষয়শ্রেণী:১৮৯২	Category:1892年
বিষয়শ্রেণী:১৮৯২-এ মৃত্যু	Category:1892年逝世
বিষয়শ্রেণী:ডাউনলোড ম্যানেজার	Category:下載工具
বিষয়শ্রেণী:১৮৯৩	Category:1893年
বিষয়শ্রেণী:১৮৯৩-এ মৃত্যু	Category:1893年逝世
বিষয়শ্রেণী:১৮৯৪	Category:1894年
বিষয়শ্রেণী:১৮৯৪-এ মৃত্যু	Category:1894年逝世
বিষয়শ্রেণী:১৮৯৫	Category:1895年
বিষয়শ্রেণী:১৮৯৫-এ মৃত্যু	Category:1895年逝世
বিষয়শ্রেণী:১৮৯৬-এ মৃত্যু	Category:1896年逝世
বিষয়শ্রেণী:১৮৯৭	Category:1897年
বিষয়শ্রেণী:১৮৯৭-এ মৃত্যু	Category:1897年逝世
বিষয়শ্রেণী:১৮৯৮-এ মৃত্যু	Category:1898年逝世
বিষয়শ্রেণী:১৮৯৯	Category:1899年
বিষয়শ্রেণী:১৮৯৯-এ মৃত্যু	Category:1899年逝世
বিষয়শ্রেণী:১৯০০-এ মৃত্যু	Category:1900年逝世
বিষয়শ্রেণী:১৯০১-এ মৃত্যু	Category:1901年逝世
বিষয়শ্রেণী:১৯০৫-এ মৃত্যু	Category:1905年逝世
বিষয়শ্রেণী:১৯০৬-এ মৃত্যু	Category:1906年逝世
বিষয়শ্রেণী:১৯০৮-এ মৃত্যু	Category:1908年逝世
বিষয়শ্রেণী:১৯০৯-এ মৃত্যু	Category:1909年逝世
বিষয়শ্রেণী:১৯১০-এ মৃত্যু	Category:1910年逝世
বিষয়শ্রেণী:১৯১২-এ মৃত্যু	Category:1912年逝世
বিষয়শ্রেণী:১৯১৩-এ মৃত্যু	Category:1913年逝世
বিষয়শ্রেণী:১৯১৪-এ মৃত্যু	Category:1914年逝世
বিষয়শ্রেণী:১৯১৫-এ মৃত্যু	Category:1915年逝世
বিষয়শ্রেণী:১৯১৬-এ মৃত্যু	Category:1916年逝世
বিষয়শ্রেণী:১৯১৭-এ মৃত্যু	Category:1917年逝世
বিষয়শ্রেণী:১৯১৮-এ মৃত্যু	Category:1918年逝世
বিষয়শ্রেণী:১৯১৯-এ মৃত্যু	Category:1919年逝世
বিষয়শ্রেণী:১৯২০-এ মৃত্যু	Category:1920年逝世
বিষয়শ্রেণী:১৯২১-এ মৃত্যু	Category:1921年逝世
বিষয়শ্রেণী:১৯২৩-এ মৃত্যু	Category:1923年逝世
বিষয়শ্রেণী:১৯২৫-এ মৃত্যু	Category:1925年逝世
বিষয়শ্রেণী:১৯২৬-এ মৃত্যু	Category:1926年逝世
বিষয়শ্রেণী:১৯২৭-এ মৃত্যু	Category:1927年逝世
বিষয়শ্রেণী:১৯৩২-এ মৃত্যু	Category:1932年逝世
বিষয়শ্রেণী:১৯৩৫-এ মৃত্যু	Category:1935年逝世
বিষয়শ্রেণী:১৯৩৬-এ মৃত্যু	Category:1936年逝世
বিষয়শ্রেণী:১৯৩৯-এ মৃত্যু	Category:1939年逝世
বিষয়শ্রেণী:১৯৪০-এ মৃত্যু	Category:1940年逝世
বিষয়শ্রেণী:১৯৪১-এ মৃত্যু	Category:1941年逝世
বিষয়শ্রেণী:১৯৪৪-এ মৃত্যু	Category:1944年逝世
বিষয়শ্রেণী:১৯৪৮-এ মৃত্যু	Category:1948年逝世
বিষয়শ্রেণী:১৯৫১-এ মৃত্যু	Category:1951年逝世
বিষয়শ্রেণী:১৯৫২-এ মৃত্যু	Category:1952年逝世
বিষয়শ্রেণী:১৯৫৩-এ মৃত্যু	Category:1953年逝世
বিষয়শ্রেণী:১৯৫৪-এ মৃত্যু	Category:1954年逝世
বিষয়শ্রেণী:১৯৫৫-এ মৃত্যু	Category:1955年逝世
বিষয়শ্রেণী:১৯৫৬-এ মৃত্যু	Category:1956年逝世
টেমপ্লেট:SimpleNuclide2	Template:SimpleNuclide2
বিষয়শ্রেণী:১৯৫৭-এ মৃত্যু	Category:1957年逝世
বিষয়শ্রেণী:১৯৫৮-এ মৃত্যু	Category:1958年逝世
বিষয়শ্রেণী:২০০৮-এর সফটওয়্যার	Category:2008年软件
বিষয়শ্রেণী:১৯৬১	Category:1961年
বিষয়শ্রেণী:আইওএস সফটওয়্যার	Category:IOS软件
বিষয়শ্রেণী:১৯৬৪	Category:1964年
বিষয়শ্রেণী:১৯৬৪-এ মৃত্যু	Category:1964年逝世
বিষয়শ্রেণী:১৯৬৫	Category:1965年
বিষয়শ্রেণী:১৯৬৫-এ মৃত্যু	Category:1965年逝世
বিষয়শ্রেণী:১৯৬৬	Category:1966年
বিষয়শ্রেণী:১৯৬৭	Category:1967年
বিষয়শ্রেণী:১৯৬৭-এ মৃত্যু	Category:1967年逝世
বিষয়শ্রেণী:১৯৬৮-এ মৃত্যু	Category:1968年逝世
বিষয়শ্রেণী:১৯৬৯	Category:1969年
বিষয়শ্রেণী:১৯৭০	Category:1970年
বিষয়শ্রেণী:১৯৭০-এ মৃত্যু	Category:1970年逝世
বিষয়শ্রেণী:১৯৭১-এ মৃত্যু	Category:1971年逝世
বিষয়শ্রেণী:১৯৭২	Category:1972年
বিষয়শ্রেণী:১৯৭২-এ মৃত্যু	Category:1972年逝世
বিষয়শ্রেণী:১৯৭৩	Category:1973年
বিষয়শ্রেণী:১৯৭৩-এ মৃত্যু	Category:1973年逝世
বিষয়শ্রেণী:১৯৭৪	Category:1974年
বিষয়শ্রেণী:১৯৭৫	Category:1975年
বিষয়শ্রেণী:১৯৭৬	Category:1976年
বিষয়শ্রেণী:১৯৭৭-এ মৃত্যু	Category:1977年逝世
বিষয়শ্রেণী:১৯৭৮	Category:1978年
বিষয়শ্রেণী:১৯৭৯	Category:1979年
বিষয়শ্রেণী:১৯৮০	Category:1980年
বিষয়শ্রেণী:১৯৮১	Category:1981年
বিষয়শ্রেণী:১৯৮২	Category:1982年
বিষয়শ্রেণী:১৯৮২-এ মৃত্যু	Category:1982年逝世
বিষয়শ্রেণী:১৯৮৩	Category:1983年
বিষয়শ্রেণী:১৯৮৩-এ মৃত্যু	Category:1983年逝世
বিষয়শ্রেণী:১৯৮৪	Category:1984年
বিষয়শ্রেণী:১৯৮৪-এ মৃত্যু	Category:1984年逝世
বিষয়শ্রেণী:১৯৮৫	Category:1985年
বিষয়শ্রেণী:১৯৮৫-এ মৃত্যু	Category:1985年逝世
বিষয়শ্রেণী:১৯৮৬	Category:1986年
বিষয়শ্রেণী:১৯৮৭	Category:1987年
বিষয়শ্রেণী:১৯৮৭-এ মৃত্যু	Category:1987年逝世
বিষয়শ্রেণী:১৯৮৮	Category:1988年
বিষয়শ্রেণী:১৯৮৯	Category:1989年
বিষয়শ্রেণী:১৯৮৯-এ মৃত্যু	Category:1989年逝世
বিষয়শ্রেণী:১৯৯০	Category:1990年
বিষয়শ্রেণী:১৯৯০-এ মৃত্যু	Category:1990年逝世
বিষয়শ্রেণী:১৯৯১	Category:1991年
বিষয়শ্রেণী:১৯৯২	Category:1992年
বিষয়শ্রেণী:১৯৯৩	Category:1993年
বিষয়শ্রেণী:১৯৯৪	Category:1994年
বিষয়শ্রেণী:১৯৯৫	Category:1995年
বিষয়শ্রেণী:১৯৯৫-এ মৃত্যু	Category:1995年逝世
বিষয়শ্রেণী:১৯৯৬	Category:1996年
বিষয়শ্রেণী:১৯৯৬-এ মৃত্যু	Category:1996年逝世
বিষয়শ্রেণী:১৯৯৭	Category:1997年
বিষয়শ্রেণী:১৯৯৭-এ মৃত্যু	Category:1997年逝世
বিষয়শ্রেণী:১৯৯৯	Category:1999年
বিষয়শ্রেণী:২০০০	Category:2000年
বিষয়শ্রেণী:২০০০-এ মৃত্যু	Category:2000年逝世
বিষয়শ্রেণী:২০০১	Category:2001年
বিষয়শ্রেণী:২০০১-এ মৃত্যু	Category:2001年逝世
বিষয়শ্রেণী:২০০২	Category:2002年
বিষয়শ্রেণী:২০০২-এ মৃত্যু	Category:2002年逝世
বিষয়শ্রেণী:২০০৩-এ মৃত্যু	Category:2003年逝世
বিষয়শ্রেণী:২০০৪	Category:2004年
বিষয়শ্রেণী:২০০৪-এ মৃত্যু	Category:2004年逝世
বিষয়শ্রেণী:২০০৫	Category:2005年
বিষয়শ্রেণী:২০০৬	Category:2006年
বিষয়শ্রেণী:২০০৬-এ মৃত্যু	Category:2006年逝世
বিষয়শ্রেণী:২০০৭	Category:2007年
বিষয়শ্রেণী:২০০৮	Category:2008年
বিষয়শ্রেণী:২০০৯	Category:2009年
বিষয়শ্রেণী:২০১০	Category:2010年
বিষয়শ্রেণী:২০১১	Category:2011年
বিষয়শ্রেণী:২০১৩-এ জন্ম	Category:2013年出生
বিষয়শ্রেণী:দেশ অনুযায়ী নদী	Category:各国河流
বিষয়শ্রেণী:দেশ অনুযায়ী অর্থনৈতিক ইতিহাস	Category:各国经济史
বিষয়শ্রেণী:দেশ অনুযায়ী বিমানবন্দর	Category:各国机场
বিষয়শ্রেণী:দেশ অনুযায়ী বিজ্ঞান এবং প্রযুক্তি	Category:各国科技
বিষয়শ্রেণী:জাতীয় প্রতীক	Category:國家象徵
বিষয়শ্রেণী:দেশ অনুযায়ী সেতু	Category:各國橋樑
বিষয়শ্রেণী:দেশ অনুযায়ী মসজিদ	Category:各国清真寺
বিষয়শ্রেণী:দেশ অনুযায়ী বৌদ্ধধর্ম	Category:各国佛教
বিষয়শ্রেণী:দেশ অনুযায়ী ব্র্যান্ড	Category:各國品牌
টেমপ্লেট:Country flag IOC alias AFG	Template:Country flag IOC alias AFG
বিষয়শ্রেণী:দেশ অনুযায়ী পর্বত সীমা	Category:各國山脈
বিষয়শ্রেণী:দেশ অনুযায়ী প্রাণীজগৎ	Category:各國生物
বিষয়শ্রেণী:দেশ অনুযায়ী দ্বীপ	Category:各国岛屿
বিষয়শ্রেণী:সামুদ্রিক স্তন্যপায়ী প্রাণী	Category:海洋哺乳動物
বিষয়শ্রেণী:তরঙ্গ	Category:振动和波
বিষয়শ্রেণী:দেশ অনুযায়ী স্টেডিয়াম	Category:各國體育場地
বিষয়শ্রেণী:দেশ অনুযায়ী উদ্ভিদকুল	Category:各國植物
বিষয়শ্রেণী:দেশ অনুযায়ী সংবাদপত্র	Category:各國報紙
বিষয়শ্রেণী:দেশ অনুযায়ী স্থানিক বিরোধ	Category:各國爭議地區
বিষয়শ্রেণী:দেশ অনুযায়ী ব্যাংক	Category:各國銀行
বিষয়শ্রেণী:ভাষা অনুযায়ী দেশ	Category:按語言分類的國家地區
বিষয়শ্রেণী:দেশ অনুযায়ী হ্রদ	Category:各國湖泊
বিষয়শ্রেণী:ইংরেজি-ভাষী দেশ ও অঞ্চল	Category:英語國家地區
টেমপ্লেট:Country data ভেনিস প্রজাতন্ত্র	Template:Country data Republic of Venice
বিষয়শ্রেণী:বাংলাদেশের অর্থনীতি	Category:孟加拉国经济
বিষয়শ্রেণী:সুইজারল্যান্ডের অর্থনীতি	Category:瑞士经济
বিষয়শ্রেণী:স্নাইপার রাইফেল	Category:狙擊步槍
বিষয়শ্রেণী:সিঙ্গাপুরের অর্থনীতি	Category:新加坡经济
বিষয়শ্রেণী:বাংলাদেশী নোবেল বিজয়ী	Category:孟加拉諾貝爾獎獲得者
বিষয়শ্রেণী:যুক্তরাজ্যের অর্থনীতি	Category:英國經濟
টেমপ্লেট:ক্রিটেশিয়াস	Template:Cretaceous Footer
বিষয়শ্রেণী:সৌদি আরবের ব্যাংক	Category:沙特阿拉伯銀行
টেমপ্লেট:রসায়নে নোবেল পুরস্কার	Template:诺贝尔化学奖获得者
বিষয়শ্রেণী:চিলির ইতিহাস	Category:智利历史
বিষয়শ্রেণী:বর্মী নোবেল পুরস্কার বিজয়ী	Category:緬甸諾貝爾獎獲得者
বিষয়শ্রেণী:পোলীয় নোবেল বিজয়ী	Category:波蘭諾貝爾獎獲得者
বিষয়শ্রেণী:দেশ অনুযায়ী পর্বত	Category:各国山峰
বিষয়শ্রেণী:দেশ অনুযায়ী রাজনৈতিক দল	Category:各國政黨
বিষয়শ্রেণী:পেরুভিও নোবেল বিজয়ী	Category:秘魯諾貝爾獎獲得者
বিষয়শ্রেণী:বাংলাদেশের রাজনীতি	Category:孟加拉國政治
বিষয়শ্রেণী:পাকিস্তানের রাজনীতি	Category:巴基斯坦政治
টেমপ্লেট:BS4	Template:BS4
টেমপ্লেট:Country data সান্টিয়াগো দেল ইস্তেরো	Template:Country data Santiago del Estero
টেমপ্লেট:Di-no source	Template:No source
বিষয়শ্রেণী:বাংলাদেশের সামরিক বাহিনী	Category:孟加拉国军事
বিষয়শ্রেণী:ইসলামি বিজ্ঞানের ইতিহাস	Category:伊斯蘭科學史
টেমপ্লেট:Country data Entre Ríos	Template:Country data Entre Ríos
টেমপ্লেট:Country data চাকো	Template:Country data Chaco
টেমপ্লেট:Country data সালতা	Template:Country data Salta
বিষয়শ্রেণী:দাবা টেমপ্লেট	Category:國際象棋模板
বিষয়শ্রেণী:জাতীয়তা অনুযায়ী পুরস্কার বিজয়ী	Category:各国奖项获得者
টেমপ্লেট:মায়া সভ্যতা	Template:玛雅文明
প্রধান ধর্মাবলম্বী গোষ্ঠীসমূহ	世界主要宗教
বিষয়শ্রেণী:কানাডীয় দার্শনিক	Category:加拿大哲學家
বিষয়শ্রেণী:সমসাময়িক ইতিহাস	Category:現代史
টেমপ্লেট:দক্ষিণ আমেরিকা বিষয়	Template:南美洲主題
বিষয়শ্রেণী:বাংলাদেশের খেলাধুলা	Category:孟加拉國體育
বিষয়শ্রেণী:অভিজ্ঞতাবাদ	Category:经验主义
টেমপ্লেট:Infobox language/family-color	Template:Infobox Language/family-color
বিষয়শ্রেণী:দেশ অনুযায়ী ফুটবল টেমপ্লেট	Category:各国足球模板
টেমপ্লেট:ISSN	Template:ISSN
বিষয়শ্রেণী:সুইজারল্যান্ডে ফুটবল	Category:瑞士足球
বিষয়শ্রেণী:উইকিপিডিয়ার বিষয়শ্রেণী বিজ্ঞানীদের নামানুসারে নামকরণ	Category:以科学家命名的分类
বিষয়শ্রেণী:ডেনমার্কের ভূগোল	Category:丹麥地理
বিষয়শ্রেণী:স্পেনের ভূগোল	Category:西班牙地理
বিষয়শ্রেণী:আলজেরিয়ার ভূগোল	Category:阿尔及利亚地理
বিষয়শ্রেণী:নদী	Category:河流
টেমপ্লেট:User fa-3	Template:User fa-3
বিষয়শ্রেণী:ব্যক্তিগত উন্নয়ন	Category:個人發展
টেমপ্লেট:User ko	Template:User ko
টেমপ্লেট:Lang-gu	Template:Lang-gu
বিষয়শ্রেণী:জাতীয়তা অনুযায়ী রসায়নবিদ	Category:各國化學家
টেমপ্লেট:User mk-1	Template:User mk-1
বিষয়শ্রেণী:মার্কিন প্রাণরসায়নবিদ	Category:美國生物化學家
নাসিরাবাদ	纳西拉巴德
বিষয়শ্রেণী:লন্ডনের ভবন ও স্থাপনা	Category:倫敦建築物
টেমপ্লেট:User no-1	Template:User no-1
বিষয়শ্রেণী:ভোক্তা ইলেকট্রনিক্‌স	Category:消費電子產品
টেমপ্লেট:JULIANDAY.JULIAN	Template:JULIANDAY.JULIAN
টেমপ্লেট:User pt	Template:User pt
বিষয়শ্রেণী:রাশিয়ার নদী	Category:俄罗斯河流
বিষয়শ্রেণী:ন্যাশনাল মেডেল অফ সাইন্স বিজয়ী	Category:美国国家科学奖获奖者
টেমপ্লেট:User sk-1	Template:User sk-1
বিষয়শ্রেণী:মানব প্রজনন	Category:人類繁殖
টেমপ্লেট:User sr-1	Template:User sr-1
বিষয়শ্রেণী:ভারতের নদী	Category:印度河流
টেমপ্লেট:User uk-4	Template:User uk-4
বিষয়শ্রেণী:জাতীয়তা অনুযায়ী বিজ্ঞানী	Category:各國科學家
টেমপ্লেট:User zh-1	Template:User zh-1
বিষয়শ্রেণী:আন্তর্জাতিক উন্নয়ন	Category:國際發展
বিষয়শ্রেণী:জাতীয়তা অনুযায়ী পদার্থবিজ্ঞানী	Category:各國物理學家
বিষয়শ্রেণী:জাতীয়তা অনুযায়ী উদ্ভাবক	Category:各國發明家
বিষয়শ্রেণী:দেশ অনুযায়ী জীববিজ্ঞানী	Category:各國生物學家
বিষয়শ্রেণী:জাতীয়তা অনুসারে ঔপন্যাসিক	Category:各國小說家
বিষয়শ্রেণী:সফটওয়্যার বিতরণ	Category:软件分发
বিষয়শ্রেণী:দেশ অনুযায়ী উদ্ভিদবিজ্ঞানী	Category:各国植物学家
বিষয়শ্রেণী:জাতীয়তা অনুযায়ী ইতিহাসবিদ	Category:各國歷史學家
বিষয়শ্রেণী:জাতীয়তা অনুযায়ী দার্শনিক	Category:各國哲學家
বিষয়শ্রেণী:জাতীয়তা অনুযায়ী অ্যাসোসিয়েশন ফুটবল ম্যানেজার	Category:依國籍劃分的足球主教練
বিষয়শ্রেণী:সুইজারল্যান্ডের পরিবহণ ব্যবস্থা	Category:瑞士交通
