आफ्रिकाखण्डः	非洲
पुणेमण्डलम्	浦那縣
जुनागढमण्डलम्	居那加德县
नवसारीमण्डलम्	瑙萨里县
बागपतमण्डलम्	巴格帕特县
नागपुरमण्डलम्	那格浦爾縣
चमोलीमण्डलम्	杰莫利县
बरेलीमण्डलम्	巴雷利縣
धुळेमण्डलम्	杜利亞縣
परभणीमण्डलम्	帕爾巴尼縣
गडचिरोलीमण्डलम्	加德奇羅利縣
यवतमाळमण्डलम्	亞瓦特馬爾縣
वाशिममण्डलम्	瓦辛姆縣
जालनामण्डलम्	賈爾納縣
दक्षिण सिक्किम् मण्डलः	南錫金縣
रुद्रप्रयागमण्डलम्	鲁德勒布勒亚格县
अल्मोडामण्डलम्	阿爾莫拉縣
ऊधमसिंहनगरमण्डलम्	烏但辛那加縣
नुवापाद मण्डलम्	努瓦帕達縣
औरैयामण्डलम्	奧萊亞縣
सीतापुरमण्डलम्	錫塔布爾縣
बहरैचमण्डलम्	巴赫賴奇縣
शाहजहानपुरमण्डलम्	沙賈漢布爾縣
भण्डारामण्डलम्	班達拉縣
फैजाबादमण्डलम्	法扎巴德縣
महोबा	马霍巴
महामायानगरमण्डलम्	哈特拉斯縣
रायसेनमण्डलम्	赖森县
राजकोटमण्डलम्	拉杰果德县
विदिशामण्डलम्	维迪沙县
बदांयूमण्डलम्	佈道恩縣
पाटणमण्डलम्	帕坦县
बैतूलमण्डलम्	比图尔县
इटावामण्डलम्	埃塔瓦縣
बागेश्वरमण्डलम्	巴盖什沃尔县
महोबामण्डलम्	馬奧巴縣
रामपुरमण्डलम्	蘭浦爾縣
सिद्धार्थनगरमण्डलम्	錫達特那加爾縣
देहरादूनमण्डलम्	台拉登县
मैनपुरीमण्डलम्	曼普里縣
राजपीपळा	拉杰皮普拉
पुरी मण्डलम्	普里縣
साइहामण्डलम्	賽哈縣
राजगढमण्डलम्	拉吉加尔县
कुशीनगरमण्डलम्	克什那加爾縣
दावणगेरेमण्डलम्	達文蓋雷縣
मन्दसौरमण्डलम्	曼德騷縣
काळहंदि मण्डलम्	卡拉漢迪縣
रि-भोई	日北縣
अम्रोहामण्डलम्	阿姆羅哈縣
मण्डीमण्डलम्	門迪縣
फर्रुकाबादमण्डलम्	法魯卡巴德縣
कुळित्थः	硬皮豆
मयूर्भंझ् मण्डलम्	馬尤布漢傑縣
पूर्व-इम्फालमण्डलम्	東因帕爾縣
गोन्दियामण्डलम्	貢迪亞縣
जैनतियाहिल्स्	詹塔山縣
उत्तरत्रिपुरामण्डलम्	北特里普拉县
शिमलामण्डलम्	西姆拉县
नवसारी	瑙萨里
झाबुआ	贾布阿
मन्दसौर	曼德绍尔
महेसाणा	马赫萨纳
महुवा	马胡瓦
लोणावळा	洛纳瓦拉
नवादा	纳瓦达
गोण्डामण्डलम्	貢達縣
बिजनौरमण्डलम्	比吉諾爾縣
उन्नावमण्डलम्	溫瑙縣
झान्सीमण्डलम्	詹西縣
पूर्व खासिहिल्स्	東卡希山縣
पिथौरागढमण्डलम्	比托拉格尔县
सन्तकबीरनगरमण्डलम्	聖卡比爾那加爾縣
श्रावस्तीमण्डलम्	謝拉瓦斯蒂縣
वलसाडमण्डलम्	瓦尔萨德县
फतेहपुरमण्डलम्	費特普爾縣
कौशाम्बीमण्डलम्	考夏姆比縣
फिरोझाबादमण्डलम्	費羅扎巴德縣
गजपति मण्डलम्	加賈帕提縣
कोरापुट् मण्डलम्	科拉普特縣
ऐजोलमण्डलम्	艾藻爾縣
ललितपुरमण्डलम्	拉利特普爾縣
कोलासिबमण्डलम्	科拉西布縣
लुङ्गलैमण्डलम्	林雷縣
पश्चिमत्रिपुरामण्डलम्	西特里普拉县
बलरामपुरमण्डलम्	巴爾蘭普爾縣
ढॆण्कनाल् मण्डलम्	丹卡那爾縣
लातूरमण्डलम्	拉杜爾縣
पचमढी	帕奇马尔希恰恩特特
मूडबिद्रि	穆德比德里
उत्तरकाशी	乌塔尔卡斯希
खरगौन	卡尔戈内
शृङ्गेरी	斯林格埃里
दौसा	道萨
नरसिंहपुरम्	纳尔西姆哈普尔
२०१३	2013年逝世人物列表
व्यारा	维亚拉
चम्पायमण्डलम्	昌派縣
करञ्जवृक्षः	水黄皮
बिभीतकीवृक्षः	毗黎勒
वर्गः:हिन्दुधर्मः	Category:印度教
छिन्दवाडामण्डलम्	欽德瓦拉縣
सुग्रीवः	須羯哩婆
गुप्तलिपिः	笈多文
'भारतं त्यजन्तु' आन्दोलनम्	退出印度运动
दशरथः	十車王
तिलभेदः	罌粟籽
जमखण्डि	贾姆卡恩迪
गङ्गवंशः	西恒伽王朝
कासगञ्ज	卡斯甘杰
उत्तराखण्डस्य मण्डलानि	北阿坎德邦行政区划
गुरु तेगबहादुर	得格·巴哈都爾
रायगडमण्डलम्(महाराष्ट्रम्)	賴加德縣
महेसाणामण्डलम्	马赫萨那县
उत्तरदिनाजपुर-मण्डलम्	北迪奈普县
चक्रासन्दक्रीडा	轮椅竞速
खटक् मण्डलम्	喀塔克縣
बालेश्वर् मण्डलम्	巴勒謝瓦縣
देवासमण्डलम्	德瓦斯縣
शिवपुरी	斯希沃普里
गुना	古纳
त्यागराजः	蒂亚格拉贾
कैकेयी	吉迦伊
शारदालिपिः	夏拉達文
चिल्का सरोवरम्	吉尔卡湖
मालदामण्डलम्	馬爾達縣
श्रेया घोषाल्	舒蕾亞·戈沙爾
पश्चिम खासिहिल्स्	西卡希山縣
जोवाइ	贾瓦伊
सीहोर	塞霍雷
शाहजहानपुरम्	斯哈赫贾汉普尔
ग्वालियरमण्डलम्	瓜廖爾縣
झाबुआमण्डलम्	賈布瓦縣
मुम्बई-उपनगर-मण्डलम्	孟買郊區縣
सागरमण्डलम्	薩格爾縣
केन्दुझर् मण्डलम्	肯杜賈縣
खण्डवामण्डलम्	肯德瓦縣
पूर्वगारोहिल्स्-मण्डलम्	東加若山縣
शहडोलमण्डलम्	沙赫多爾縣
कान्धमाल् मण्डलम्	坎達馬縣
हमीररपुरमण्डलम्, हिमाचलप्रदेशः	哈密爾普爾縣
सेरसिपमण्डलम्	塞奇普縣
लौङ्गत्लायमण्डलम्	隆特萊縣
धलाइमण्डलम्	达来县
रुद्रप्रयागः	鲁德拉普拉耶格
हिङ्गोलीमण्डलम्	辛戈利縣
बैतूल-नगरम्	贝图尔
जाजपुर मण्डलम्	賈賈普爾縣
बीरभूममण्डलम्	比爾賓縣
बांकुडामण्डलम्	班庫拉縣
कलकातामण्डलम्	加爾各答縣
जालौनमण्डलम्	賈勞恩縣
चित्रकूटमण्डलम्	奇特拉庫特縣
कानपुरनगरमण्डलम्	坎瑙吉縣
खानापुरम्	卡纳普尔
बुरहानपुरमण्डलम्	布爾漢布爾縣
बडवानीमण्डलम्	巴瓦尼縣
बान्दामण्डलम्	班達縣
गोलत्वमापिका	球徑計
मङ्गलयानम्	火星軌道探測器
तिरुक्कुरळ्	蒂魯古拉爾
हरदामण्डलम्	哈爾達縣
लुङ्गलै	隆格莱伊
धनूराशिः	人马宫
दतियामण्डलम्	達迪亞縣
सिवनीमण्डलम्	西奧尼縣
लक्ष्मेश्वरम्	拉克斯赫梅斯赫瓦尔
कोळ्ळेगालः	科尔莱加尔
मधुगिरिः	马杜吉里
उत्तरप्रदेशस्य मण्डलानि	北方邦行政区划
अशोकनगरमण्डलम्	阿紹格訥格爾縣
पौडी	保里
पर्यावरणम्	生态环境
टिहरी	特赫里
पिथौरागढ	皮托拉加尔
संस्कृतस्य प्रयोजनम्	小恶魔
देवघर् मण्डलम्	德巴加爾縣
हरिद्वारमण्डलम्	哈德瓦縣
खरगौनमण्डलम्	克爾岡縣
सवदत्ती	绍恩达特蒂-耶尔拉姆马
भद्रावती	巴德拉瓦蒂
मैनपुरी	迈恩普里
सिवनी	塞奥尼
टीकमगढ	蒂卡姆加尔
श्योपुरम्	斯赫奥普尔
किन्नौरमण्डलम्	金瑙爾縣
पाकुरमण्डलम्	帕考縣
सुन्दरगर् मण्डलम्	松達加爾縣
सीहोरमण्डलम्	西奧爾縣
शिवपुरीमण्डलम्	希瓦普里縣
कुमाऊंविभागः	库马盎专区
धारमण्डलम्	達爾縣
अनूपपुरमण्डलम्	阿努布爾縣
नागौर	纳高尔
रतलाममण्डलम्	拉特蘭縣 (中央邦)
केन्द्रपारमण्डलम्	肯德拉帕拉縣
उनामण्डलम्	烏納縣
गिरिडीहमण्डलम्	基里迪縣
गढवामण्डलम्	加瓦县
दक्षिण २४ परगणामण्डलम्	南24區縣
पश्चिम-गारो-हिल्स्-मण्डलम्	西加若山縣
दक्षिण-गारो-हिल्स्-मण्डलम्	南加若山縣
बारामण्डलम्	巴蘭縣
मञ्झानपुरम्	曼詹普尔
पडरौना	帕德劳纳
मुरैनामण्डलम्	莫雷那縣
चित्रकूटधाम (कार्वी)	奇特拉科奥特达姆
नरसिंहपुरमण्डलम्	納爾辛哈布爾縣
पन्नामण्डलम्	潘納縣
मण्डलामण्डलम्	曼德拉縣
भिण्डमण्डलम्	賓德縣
नीमचमण्डलम्	尼姆奇縣
नोङ्गस्तोइन्	农格斯托伊恩
अद्वैतवेदान्तः	不二論
शाजापुरम्	斯哈贾普尔
रायसेन	赖森
तीर्थहळ्ळी	蒂尔塔哈尔利
अदलाज् सोपानकूपाः	阿达拉杰
अग्निपुराणम्	火神往世书
गदगमण्डलम्	加達格縣
न्यायसूत्राणि	正理经
बौद मण्डलम्	包德縣
मुजफ्फरनगरम्	姆扎費爾那加縣
नयागर् मण्डलम्	那亞加爾縣
दक्षिणदिबाङ्गव्यालीमण्डलम्	下迪邦山谷县
कल्पः	仪轨经
कर्णाटकस्य मण्डलानि	卡纳塔克邦行政区划
सञ्जयः	全勝
नबरंगपुर मण्डलम्	那巴蘭加普縣
डिण्डोरीमण्डलम्	丁多里縣
नेपाल: भूगोल	尼泊尔地理
तृश्शूरमण्डलम्	特里蘇爾縣
राजसमन्द	拉杰萨曼德
तामाङ भाषा	达芒语
तमिळ्नाडुराज्यस्य मण्डलानि	泰米尔纳德邦行政区划
कुरुङ्गकुमेमण्डलम्	库朗库美县
टीकमगढमण्डलम्	提坎加爾縣
छतरपुरमण्डलम्	查塔布爾縣
सीधीमण्डलम्	西第縣
शाजापुरमण्डलम्	沙賈布爾縣
शामली	斯哈姆利
गुजरातराज्यस्य मण्डलानि	古吉拉特邦行政区划
राजस्थानस्य मण्डलानि	拉贾斯坦邦行政区划
असमराज्यस्य मण्डलानि	阿萨姆邦行政区划
अरुणाचलप्रदेशस्य मण्डलानि	阿鲁纳恰尔邦行政区划
नञ्जनगूडु	楠姜古德
श्रावस्ती	舍衛城
दमोहमण्डलम्	達摩縣
खलिलाबाद्, भारतम्	卡利拉巴德
भीमुनिपट्टणम्	贝埃穆尼帕特纳姆
उमरिया	乌马里亚
डिण्डोरी-नगरम्	丁多里
शहडोल	斯哈赫多尔
कोलारमण्डलम्	果拉爾縣
वेदान्तः	吠檀多
ओट्टापालम	奥特塔普帕拉姆
वडनगरम्	瓦德纳加尔
मातृगया (सिद्धपुरम्)	西德普尔
साइहा	赛哈
सतनामण्डलम्	薩地納縣
रायगडामण्डलम् (ओड़िशा)	拉亞加達縣
बिहारराज्यस्य मण्डलानि	比哈尔邦行政区划
गुल्बर्गामण्डलम्	古爾伯加縣
अलीराजपुरमण्डलम्	阿利拉傑普爾縣
सिङ्गरौलीमण्डलम्	辛格勞利縣
माहेश्वरसूत्राणि	濕婆經
जम्मूकाश्मीरराज्यस्य मण्डलानि	查谟-克什米尔邦行政区划
विकिपीडिया:वैज्ञानिक-शब्दावलिः/F	量 (佛教)
अलवर	阿尔瓦尔
कुङ्कुमम्	藏紅色
‌सेरसिप	塞尔奇普
कारवारम्	卡尔瓦尔
कोचबिहारमण्डलम्	科奇比哈爾縣
चन्दौली	钱道利
चन्दौलीमण्डलम्	昌達烏利縣
क्रिकेट्क्रीडानियमाः	板球比赛规则
तिलः	芝麻
भारतसर्वकारः	印度政府
मण्ड्यमण्डलम्	曼迪亞縣
विश्वामित्रः	众友仙人
जम्मू	查謨
बालमुरलीकृष्णः	巴拉木拉里·奎师那
औष्ण्यमालिन्यम्	熱污染
वर्गः:महाद्वीपः	Category:大洲
पीलीभीतमण्डलम्	皮利比特縣
कुलुमण्डलम्	庫魯縣
सोलन् मण्डलम्	索蘭縣
जामनगरमण्डलम्	贾姆讷格尔县
निष्पावप्रभेदः	四季豆
पञ्चशीलनगरमण्डलम्	桑巴爾縣
गुण्टूरुमण्डलम्	貢土爾
फलकम्:Solar System	Template:太阳系
विकिपीडिया:लेखशीर्षकः	Wikipedia:命名常规
मघा	摩伽
उत्तरफल्गुनी	郁多罗颇求尼
पूर्वफल्गुनी	弗婆颇求尼
पुनर्वसुः (नक्षत्रम्)	不奈婆修
रोहिणी	虏喜尼
कृत्तिका	基栗底柯
मृगशिरः	摩梨伽尸罗
आर्द्रा	阿陀罗
महाराष्ट्रस्य मण्डलानि	马哈拉施特拉邦行政区划
आश्लेषा	阿沙离沙
पुष्यः	弗沙
आन्ध्रप्रदेशस्य मण्डलानाम् आवलिः	安得拉邦行政区划
विक्रमादित्यः (नौयानम्)	超日王號航空母艦
पी टी उषा	P·T·烏莎
विभीषणः	維毗沙那
अपामार्गसस्यम्	土牛膝
बिलियर्ड्स्-क्रीडा	撞球
मैक्रोनीशिया	密克罗尼西亚群岛
कैलाश सत्यार्थी	凱拉西·薩塔亞提
हरीतकी	诃子
फलकम्:Location map India Kerala	Template:Location map India Kerala
फलकम्:Location map India Punjab	Template:Location map India Punjab
फलकम्:Location map India West Bengal	Template:Location map India West Bengal
हस्ता	诃莎多
धातुविमर्शः	梵語動詞
जगन्नाथदासः	人民大道 (新德里)
बिजापुरम्	比贾布尔
भीमः	怖軍
Chanakya	灾害
वर्गः:देश	Category:国家
विकिपीडिया:प्रबंधक	Wikipedia:管理员
विकिपीडियासम्भाषणम्:प्रबन्धकः	Wikipedia:申请成为管理人员
वर्गः:AutoWikiBrowser	Wikipedia:自动维基浏览器
ईजिप्तदेशः	埃及
फलकम्:Bot	Template:Bot
केनडा	加拿大
वर्गः:निर्वाचित लेख	Category:特色条目
वाली	婆黎
वर्गः:युरोपखण्डः	Category:欧洲
फलकम्:Documentation	Template:Documentation
वर्गः:Delete	Category:维基百科删除
विकिपीडिया:स्तम्भपञ्चकम्	Wikipedia:五大支柱
विकिपीडिया:उल्लेख्यता	Wikipedia:关注度
विकिपीडिया:प्रयोक्तृ-पेटिकाः	Wikipedia:用戶框
सङ जेगी	成在基
फलकम्:Softredirect	Template:軟重定向
फलकम्:अपाक्रियताम्	Template:Delete
वर्गः:विकिपीडिया	Category:维基百科
विकिपीडिया:General disclaimer	Wikipedia:免责声明
विकिपीडिया:शैलीपुस्तकम्	Wikipedia:格式手册
फलकम्:Navbox	Template:Navbox
कङ्गारू	袋鼠
गहनचिकित्साविभागः	加護病房
चौकाभारक्रीडा	五條盤碁
मालकानगिरिमण्डलम्	馬爾坎基里縣
विकिपीडिया:प्रमुखं चित्रम्	Wikipedia:特色图片
फलकम्:Citation needed	Template:Fact
बुद्धपूर्णिमा	佛誕
फलकम्:Error	Template:Error
फलकम्:Tnavbar	Template:Navbar
फलकम्:Code	Template:Code
फलकम्:Sc	Template:Smallcaps
फलकम्:Clear	Template:Clear
फलकम्:Col-break	Template:Col-break
फलकम्:Col-begin	Template:Col-begin
फलकम्:Col-end	Template:Col-end
फलकम्:Nowrap	Template:Nowrap
विकिपीडिया:प्रारम्भिक-विषयाः	Wikipedia:基礎條目
फलकम्:Wikisource	Template:Wikisource
फलकम्:Babel	Template:Babel
फलकम्:Commons	Template:Commons
फलकम्:Link GA	Template:Link GA
फलकम्:Reflist	Template:Reflist
फलकम्:अपूर्णलेखः	Template:Stub
फलकम्:User az	Template:User az
फलकम्:See also	Template:See also
फलकम्:User da	Template:User da
फलकम्:User de	Template:User de
फलकम्:User de-1	Template:User de-1
फलकम्:User eu	Template:User eu
फलकम्:User el	Template:User el
फलकम्:User es	Template:User es
फलकम्:User en-3	Template:User en-3
फलकम्:User en-1	Template:User en-1
फलकम्:User en-2	Template:User en-2
फलकम्:User en-4	Template:User en-4
फलकम्:User fi	Template:User fi
फलकम्:User en	Template:User en
फलकम्:User fr-1	Template:User fr-1
फलकम्:User hi-1	Template:User hi-1
फलकम्:User hr	Template:User hr
फलकम्:User hu	Template:User hu
फलकम्:User ja	Template:User ja
फलकम्:User fr	Template:User fr
फलकम्:Intricate template	Template:Esoteric
फलकम्:Mod	Template:Mod
फलकम्:NowCommons	Template:NowCommons
फलकम्:Infobox language/codelist	Template:SIL
फलकम्:User it	Template:User it
फलकम्:User uk	Template:User uk
फलकम्:Infobox football club	Template:Infobox football club
फलकम्:स्वागतम्	Template:Welcome
फलकम्:भ्रातृपरियोजनाः	Template:Wikipediasister
फलकम्:Country data Belgium	Template:Country data Belgium
फलकम्:Country data Czech Republic	Template:Country data Czech Republic
फलकम्:राष्ट्रतथ्यानि थाइलैंड	Template:Country data Thailand
फलकम्:Country data Indonesia	Template:Country data Indonesia
फलकम्:Country data British Empire	Template:Country data British Empire
फलकम्:Country data ROC	Template:Country data Republic of China
फलकम्:Edit	Template:Edit
फलकम्:Country data South African Republic	Template:Country data South African Republic
फलकम्:Country data Denmark	Template:Country data Denmark
फलकम्:राष्ट्रतथ्यानि पोलैंड	Template:Country data Poland
फलकम्:क्ळिक्	Template:Click
फलकम्:Cc-by-sa-3.0	Template:CC-BY-SA-3.0
फलकम्:Wikivar	Template:Wikivar
फलकम्:राष्ट्रतथ्यानि नार्वे	Template:Country data Norway
फलकम्:Country data RSA	Template:Country data South Africa
फलकम्:Country showdata	Template:Country showdata
फलकम्:Official	Template:Official
फलकम्:Country data Sri Lanka	Template:Country data Sri Lanka
फलकम्:Category other	Template:Category other
फलकम्:Air force	Template:Air force
फलकम्:अफ्रीकाखण्डः	Template:Africa
फलकम्:Infobox writer	Template:Infobox Writer
फलकम्:Country data United Arab Emirates	Template:Country data United Arab Emirates
फलकम्:Geographic Location	Template:Geographic Location
फलकम्:Infobox musical artist	Template:Infobox musical artist
फलकम्:Country data AUS	Template:Country data Australia
फलकम्:Infobox football biography	Template:Infobox football biography
फलकम्:Wait	Template:Inuse
फलकम्:Dubious	Template:可疑
फलकम्:Infobox magazine	Template:Infobox Magazine
फलकम्:Fossil range/bar	Template:Fossil range/bar
फलकम्:Infobox chess biography	Template:Infobox chess player
फलकम्:Fontcolor	Template:Fontcolor
फलकम्:देश	Template:國家基礎資訊
फलकम्:Infobox software	Template:Infobox software
फलकम्:Infobox Airline	Template:Infobox Airline
फलकम्:Wide image	Template:Wide image
फलकम्:Country data Austria	Template:Country data Austria
फलकम्:Infobox military conflict	Template:Infobox Military Conflict
फलकम्:Str left	Template:Str left
फलकम्:Country data Nepal	Template:Country data Nepal
फलकम्:Country data Finland	Template:Country data Finland
फलकम्:Audio	Template:Audio
फलकम्:Country data Egypt	Template:Country data Egypt
फलकम्:Country data Lithuania	Template:Country data Lithuania
फलकम्:Infobox Indian political party	Template:Infobox Political Party
फलकम्:Country data Japan	Template:Country data Japan
फलकम्:S-start	Template:Start
फलकम्:Age in years and days	Template:Age in years and days
फलकम्:Nom	Template:Nom
फलकम्:Facebook	Template:Facebook
फलकम्:Cleanup	Template:Cleanup
फलकम्:Infobox scientist	Template:Infobox Scientist
फलकम्:Country data Czechoslovakia	Template:Country data Czechoslovakia
फलकम्:Country data Vietnam	Template:Country data Vietnam
फलकम्:S-aft	Template:S-after
फलकम्:Featured article	Template:Featured article
फलकम्:Country data Russia	Template:Country data Russia
फलकम्:Infobox monarch	Template:Infobox Monarch
फलकम्:Box-Header	Template:Box-header
फलकम्:Infobox award	Template:Infobox award
वर्गः:User en-2	Category:En-2 使用者
फलकम्:Infobox	Template:Infobox
फलकम्:Navy	Template:Navy
फलकम्:User zh	Template:User zh
लोन्गडिङ्गमण्डलम्	隆格丁格縣
फलकम्:Sp	Template:Sp
फलकम्:Documentation/start box	Template:Documentation/start box
फलकम्:Documentation/end box2	Template:Documentation/end box2
फलकम्:Documentation/start box2	Template:Documentation/start box2
फलकम्:Template other	Template:Template other
फलकम्:Cite web	Template:Cite web
वर्गः:जीवचरितम्	Category:传记
फलकम्:Imdb title	Template:Imdb title
फलकम्:Cc-by-2.5	Template:CC-BY-2.5
फलकम्:Country data	Template:Country data
फलकम्:Won	Template:Award-won
फलकम्:Coor URL	Template:MapsServer
फलकम्:Notice	Template:Notice
फलकम्:Pp-template	Template:Pp-template
फलकम्:विकिकोशः	Template:Wiktionary
फलकम्:Infobox music festival	Template:Infobox music festival
फलकम्:User wikipedia/RC Patrol	Template:User wikipedia RC Patrol
फलकम्:Infobox settlement	Template:Infobox Settlement
शतवेधी	香茅
फलकम्:User ru	Template:User ru
फलकम्:IPA	Template:IPA
फलकम्:GFDL	Template:GFDL
फलकम्:Country data Soviet Union	Template:Country data Soviet Union
फलकम्:राष्ट्रतथ्यानि भारतम्	Template:Country data India
फलकम्:Category redirect	Template:分类重定向
फलकम्:Infobox Officeholder	Template:Infobox Officeholder
फलकम्:Sisterlinks	Template:Sister project links
फलकम्:Infobox protected area	Template:Infobox Protected area
फलकम्:Cc-by-sa-2.5	Template:CC-BY-SA-2.5
फलकम्:Border	Template:Border
फलकम्:Death date and age	Template:Death date and age
फलकम्:MONTHNUMBER	Template:MONTHNUMBER
फलकम्:Topicon	Template:Topicon
फलकम्:Icon	Template:Icon
वर्गः:राष्ट्रतथ्यानि फलकानि	Category:国家资料模板
फलकम्:Country data China	Template:Country data China
फलकम्:Country data Cyprus	Template:Country data Cyprus
फलकम्:Infobox GrandSlamTournaments	Template:网球大满贯系列赛
फलकम्:Army	Template:Army
फलकम्:Country data Malaysia	Template:Country data Malaysia
फलकम्:Country data Taiwan	Template:Country data Taiwan
फलकम्:Infobox book	Template:Infobox Book
फलकम्:Talkback	Template:Talkback
फलकम्:Infobox planet	Template:Infobox Planet
फलकम्:ICD10	Template:ICD10
फलकम्:Infobox विकिपीडिया	Template:Infobox Website
फलकम्:Infobox Indian jurisdiction	Template:Infobox Indian jurisdiction
फलकम्:Navboxes	Template:Navboxes
फलकम्:Infobox anatomy	Template:Infobox anatomy
फलकम्:प्रलेखनस्य उपपृष्ठम्	Template:Documentation subpage
फलकम्:Infobox Galaxy	Template:Infobox Galaxy
फलकम्:Infobox number	Template:整数
फलकम्:भारतस्य राज्यानि केन्द्रशासितप्रदेशाः च	Template:印度一级行政区
फलकम्:Ref label	Template:Ref label
फलकम्:Cc-by-2.0	Template:CC-BY-2.0
फलकम्:Infobox medal templates	Template:Infobox medal templates
फलकम्:Infobox विश्वपरम्परास्थानानि	Template:世界遗产概要表
वर्गः:चित्रकला	Category:繪畫
फलकम्:Infobox astronaut	Template:宇航员信息框
फलकम्:Str len	Template:Str len
फलकम्:Infobox sport	Template:Infobox sport
फलकम्:MedalSport	Template:MedalSport
फलकम्:Empty category	Template:Empty category
फलकम्:Country data Austria-Hungary	Template:Country data Austria-Hungary
फलकम्:Infobox sportsperson	Template:Infobox sportsperson
फलकम्:Infobox building	Template:Infobox building
फलकम्:प्रबोधनं-प्रयोगे-१	Template:Uw-test1
फलकम्:Myspace	Template:MySpace
फलकम्:Infobox artist	Template:Infobox Artist
फलकम्:Country flag2	Template:Flag/core
फलकम्:Note label	Template:Note label
फलकम्:Infobox ship begin	Template:Infobox ship begin
फलकम्:Infobox album	Template:Infobox Album
ऐ एन् एस् सिन्धुरक्षकः	辛杜拉克沙克號潛艇
वर्गः:गुजरातराज्यस्य मण्डलानि	Category:古吉拉特邦行政区划
फलकम्:Emergency-bot-shutoff	Template:Emergency-bot-shutoff
फलकम्:Infobox Swiss town	Template:Infobox Swiss town
फलकम्:IMDb name	Template:Imdb name
फलकम्:Di-no source no license	Template:PD-because
फलकम्:Cc-by	Template:CC-BY-1.0
फलकम्:S-ttl	Template:S-title
फलकम्:Infobox former country	Template:Infobox Former Country
फलकम्:Designation	Template:Designation
फलकम्:Infobox tennis biography	Template:Infobox 網球選手
फलकम्:Age in days	Template:Age in days
फलकम्:S-bef	Template:S-before
फलकम्:Cc-by-sa-2.0	Template:CC-BY-SA-2.0
वर्गः:भारतस्य राष्ट्रपतयः	Category:印度總統
फलकम्:Infobox waterfall	Template:Infobox waterfall
फलकम्:Infobox Continent	Template:Infobox Continent
विकिपीडिया:Help for non-Sanskrit speakers	Wikipedia:Guestbook for non-Chinese speakers
फलकम्:Interwiki conflict	Template:Interwiki conflict
फलकम्:Gregorian serial date	Template:Gregorian serial date
उपनिषदः	奥义书
फलकम्:PDFlink	Template:PDFlink
फलकम्:Infobox game	Template:Infobox Game
फलकम्:राष्ट्रतथ्यानि ब्रिटिश राज	Template:Country data British Raj
फलकम्:Disambiguation	Template:Disambig
फलकम्:Country data Nazi Germany	Template:Country data Nazi Germany
फलकम्:User link	Template:Ul
फलकम्:Partial	Template:Partial
फलकम्:Plain link	Template:Plainlink
फलकम्:भारतस्य प्रधानमन्त्रिणः	Template:印度总理
फलकम्:Infobox film	Template:Infobox Film
फलकम्:भारतस्य राष्ट्रपतयः	Template:印度总统
फलकम्:Geobox	Template:Geobox
फलकम्:Ifsubst	Template:Ifsubst
फलकम्:Sec link image	Template:Sec link image
फलकम्:Lower	Template:Lower
फलकम्:Voidd	Template:Voidd
फलकम्:User Sandbox	Template:用戶沙盒
फलकम्:भाषा-पुर्तगाली	Template:Lang-pt
फलकम्:Infobox philosopher	Template:Infobox philosopher
फलकम्:Metacaixa	Template:Tabs
फलकम्:Infobox organization	Template:Infobox Organization
फलकम्:Infobox U.S. state	Template:US state info
फलकम्:GFDL-with-disclaimers	Template:GFDL-with-disclaimers
फलकम्:Fix	Template:Fix
वर्गः:वास्तुशास्त्रम्	Category:建筑
फलकम्:GSE	Template:GSEn
फलकम्:Tn	Template:Tn
फलकम्:Infobox military installation	Template:Infobox Military Structure
फलकम्:HinduMythology	Template:印度神話
फलकम्:Flagicon image	Template:Flagicon image
फलकम्:Pending	Template:Pending
फलकम्:व्यक्तिः	Template:Infobox person
फलकम्:?	Template:?
फलकम्:Country data People's Republic of China	Template:Country data People's Republic of China
फलकम्:Nts	Template:Nts
फलकम्:Country data South Korea	Template:Country data South Korea
वर्गः:केरलराज्यम्	Category:喀拉拉邦
फलकम्:Coord	Template:Coord
फलकम्:Dmoz	Template:Dmoz
फलकम्:Infobox games	Template:Infobox games
वर्गः:User sa	Category:Sa 使用者
वर्गः:User sa-3	Category:Sa-3 使用者
वर्गः:User sa-4	Category:Sa-4 使用者
वर्गः:User sa-2	Category:Sa-2 使用者
वर्गः:लिपयः	Category:文字
फलकम्:Beta	Template:Beta
वर्गः:User en-3	Category:En-3 使用者
वर्गः:User en-N	Category:En 母语使用者
पोरबन्दर	博尔本德尔
फलकम्:Beijing	Template:北京行政区划
फलकम्:राष्ट्रतथ्यानि जर्मनी	Template:Country data Germany
फलकम्:Country data the United Kingdom	Template:Country data United Kingdom
फलकम्:Infobox disease	Template:Infobox Disease
फलकम्:Cite encyclopedia	Template:Cite encyclopedia
फलकम्:Weather box	Template:Infobox weather
फलकम्:Nastaliq	Template:Script/Nastaliq
वर्गः:User kn	Category:Kn 使用者
वर्गः:User kn-1	Category:Kn-1 使用者
वर्गः:User kn-2	Category:Kn-2 使用者
वर्गः:User kn-3	Category:Kn-3 使用者
फलकम्:Infobox currency	Template:Infobox Currency
फलकम्:Cc-by-sa	Template:CC-BY-SA-1.0
फलकम्:·w	Template:·wrap
वर्गः:क्रिकेट्-क्रीडालवः	Category:板球
व्यजनम्	风扇
फलकम्:राष्ट्रतथ्यानि ब्रासील	Template:Country data Brazil
फलकम्:Dagger	Template:Dagger
फलकम्:Lang-ne	Template:Lang-ne
