આફ્રિકા	非洲
ઢાંચો:Ambox	Template:Ambox
ઢાંચો:Wikipedia category	Template:Wikipedia category
ઢાંચો:Lead too short	Template:Lead section
ઢાંચો:Dubious	Template:可疑
ઢાંચો:Hide in print	Template:Hide in print
ઢાંચો:Infobox magazine	Template:Infobox Magazine
ઢાંચો:Navigation templates	Template:Navigational templates
ઢાંચો:Infobox school	Template:Infobox School
ઢાંચો:Refimprove	Template:Refimprove
ઢાંચો:User hi-3	Template:User hi-3
ઢાંચો:માહિતીચોકઠું દેશ	Template:國家基礎資訊
ઢાંચો:Infobox Software	Template:Infobox software
ઢાંચો:Column-count	Template:Column-count
ઢાંચો:Country data Laos	Template:Country data Laos
ઢાંચો:Infobox airline	Template:Infobox Airline
ઢાંચો:Country data Austria	Template:Country data Austria
ઢાંચો:Str left	Template:Str left
ઢાંચો:Country data Nepal	Template:Country data Nepal
ઢાંચો:Str sub long	Template:Str sub old
ઢાંચો:Documentation/docname	Template:Documentation/docname
ઢાંચો:Country data Finland	Template:Country data Finland
ઢાંચો:Audio	Template:Audio
ઢાંચો:Flat list	Template:Flatlist
ઢાંચો:Country data Egypt	Template:Country data Egypt
ઢાંચો:Country data Lithuania	Template:Country data Lithuania
ઢાંચો:Used in system	Template:Used in system
ઢાંચો:Country data Japan	Template:Country data Japan
ઢાંચો:Country data Netherlands	Template:Country data Netherlands
ઢાંચો:Tmbox	Template:Tmbox
ઢાંચો:Navbox with columns	Template:Navbox with columns
ઢાંચો:S-start	Template:Start
ઢાંચો:Nom	Template:Nom
ઢાંચો:Facebook	Template:Facebook
ઢાંચો:Cite paper	Template:Cite journal
ઢાંચો:Country data Azerbaijan	Template:Country data Azerbaijan
ઢાંચો:માહિતીચોકઠું કંપની	Template:Infobox Company
ઢાંચો:Country data Czechoslovakia	Template:Country data Czechoslovakia
ઢાંચો:Cite news	Template:Cite news
ઢાંચો:Family tree	Template:Familytree
ઢાંચો:Country data Vietnam	Template:Country data Vietnam
ઢાંચો:S-aft	Template:S-after
ઢાંચો:ઉમદા લેખ	Template:Featured article
ઢાંચો:Country data Libya	Template:Country data Libya
ઢાંચો:Country data Russia	Template:Country data Russia
ઢાંચો:માહિતીચોકઠું રાજવી	Template:Infobox Monarch
શ્રેણી:પેરિસ	Category:巴黎
શ્રેણી:User en-4	Category:En-4 使用者
શ્રેણી:User en	Category:En 使用者
ઢાંચો:Ordinal	Template:Ordinal
શ્રેણી:User en-2	Category:En-2 使用者
ઢાંચો:Infobox	Template:Infobox
ઢાંચો:માહિતીચોકઠું મંદિર	Template:Infobox Mandir
ઢાંચો:Main other	Template:Main other
ઢાંચો:Image class names	Template:Image class names
ઢાંચો:Str crop	Template:Str crop
ઢાંચો:User zh	Template:User zh
ઢાંચો:Documentation/start box	Template:Documentation/start box
ઢાંચો:Documentation/end box2	Template:Documentation/end box2
ઢાંચો:Documentation/start box2	Template:Documentation/start box2
ઢાંચો:Template other	Template:Template other
ઢાંચો:Legend	Template:Legend
ઢાંચો:Cite web	Template:Cite web
ઢાંચો:Infobox bridge	Template:Infobox Bridge
ઢાંચો:Country data Italy	Template:Country data Italy
ઢાંચો:Ombox	Template:Ombox
ઢાંચો:Country data	Template:Country data
ઢાંચો:વિજયી	Template:Award-won
ઢાંચો:GeoTemplate	Template:GeoTemplate
ઢાંચો:Navbar-collapsible	Template:Tnavbar-collapsible
ઢાંચો:Coor URL	Template:MapsServer
ઢાંચો:Pp-template	Template:Pp-template
ઢાંચો:Wiktionary	Template:Wiktionary
ઢાંચો:Country data Sweden	Template:Country data Sweden
ઢાંચો:Chem	Template:Chem
ઢાંચો:Language icon	Template:Language icon
શ્રેણી:User hi	Category:Hi 使用者
શ્રેણી:હિન્દી ચલચિત્ર	Category:印度電影作品
ઢાંચો:પુરાતન દુનિયાની સાત અજાયબીઓ	Template:世界七大奇迹
ઢાંચો:Infobox settlement	Template:Infobox Settlement
મહીસાગર જિલ્લો	马西萨格尔县
ઢાંચો:ITIS	Template:ITIS
ઢાંચો:Other uses	Template:Otheruses
પીઠનો દુખાવો	背痛
ઢાંચો:Country data Soviet Union	Template:Country data Soviet Union
ઢાંચો:Country data India	Template:Country data India
ઢાંચો:Language with name	Template:LangWithName
ઢાંચો:Country data Algeria	Template:Country data Algeria
ઢાંચો:માહિતીચોકઠું નૃવંશ સમુદાય	Template:Infobox Ethnic group
ઢાંચો:MONTHNAME	Template:MONTHNAME
ઢાંચો:Category redirect	Template:分类重定向
વિકિપીડિયા:Text of the GNU Free Documentation License	Wikipedia:GNU自由文档许可证文本
ઢાંચો:Country data Venezuela	Template:Country data Venezuela
ઢાંચો:Infobox protected area	Template:Infobox Protected area
ઢાંચો:Border	Template:Border
ઢાંચો:Country data Portugal	Template:Country data Portugal
ઢાંચો:Country data Ireland	Template:Country data Ireland
ઢાંચો:Translation/Ref	Template:Translation/Ref
ઢાંચો:Top icon	Template:Topicon
શ્રેણી:Country data templates	Category:国家资料模板
ઢાંચો:Fmbox	Template:Fmbox
ઢાંચો:Navbox with collapsible groups	Template:Navbox with collapsible groups
ઢાંચો:Country data China	Template:Country data China
ઢાંચો:Country data Benin	Template:Country data Benin
ઢાંચો:Country data ENG	Template:Country data England
ઢાંચો:Country data Republic of Ireland	Template:Country data Republic of Ireland
ઢાંચો:Country data Turkey	Template:Country data Turkey
ઢાંચો:Country data Cyprus	Template:Country data Cyprus
ઢાંચો:Country data Switzerland	Template:Country data Switzerland
ઢાંચો:Country data Philippines	Template:Country data Philippines
ઢાંચો:Country data Nigeria	Template:Country data Nigeria
ઢાંચો:Country data Belarus	Template:Country data Belarus
ઢાંચો:ParmPart	Template:ParmPart
ઢાંચો:Country data Malaysia	Template:Country data Malaysia
ઢાંચો:Country data Armenia	Template:Country data Armenia
ઢાંચો:Country data Zimbabwe	Template:Country data Zimbabwe
ઢાંચો:Country data Timor-Leste	Template:Country data East Timor
ઢાંચો:Country data South Vietnam	Template:Country data South Vietnam
ઢાંચો:Infobox dog breed	Template:Infobox Dogbreed
ઢાંચો:Country data Myanmar	Template:Country data Myanmar
ઢાંચો:Country data Kazakhstan	Template:Country data Kazakhstan
ઢાંચો:Country data Chile	Template:Country data Chile
ઢાંચો:Country data Slovenia	Template:Country data Slovenia
ઢાંચો:Country data Lebanon	Template:Country data Lebanon
ઢાંચો:માહિતીચોકઠું પુસ્તક	Template:Infobox Book
ઢાંચો:Country data Bhutan	Template:Country data Bhutan
ઢાંચો:Tlc	Template:Tlc
ઢાંચો:Country data Ceylon	Template:Country data Ceylon
ઢાંચો:Talkback	Template:Talkback
ઢાંચો:Infobox planet	Template:Infobox Planet
શ્રેણી:જાન્યુઆરી	Category:1月
ઢાંચો:આવર્ત કોષ્ટક	Template:元素週期表
ઢાંચો:Lang-fa	Template:Lang-fa
ઢાંચો:User nl	Template:User nl
ઢાંચો:માહિતીચોકઠું વેબસાઇટ	Template:Infobox Website
ઢાંચો:Image label end	Template:Image label end
ઢાંચો:Infobox Indian Jurisdiction	Template:Infobox Indian jurisdiction
ઢાંચો:Uncategorized	Template:Uncategorized
ઢાંચો:Talk header	Template:Talkheader
ઢાંચો:Quote box	Template:Quote box
ઢાંચો:Infobox medal templates	Template:Infobox medal templates
ઢાંચો:માહિતીચોકઠું વિશ્વ ધરોહર સ્થળ	Template:世界遗产概要表
ઢાંચો:અંક પદ્ધતિ	Template:记数系统
ઢાંચો:Infobox astronaut	Template:宇航员信息框
ઢાંચો:Geobox coor	Template:Geobox coor
ઢાંચો:Str len	Template:Str len
ઢાંચો:Purge	Template:Purge
ઢાંચો:Infobox sport	Template:Infobox sport
ઢાંચો:MedalSport	Template:MedalSport
ઢાંચો:Lang-de	Template:Lang-de
ઢાંચો:Empty category	Template:Empty category
ઢાંચો:Country data Austria-Hungary	Template:Country data Austria-Hungary
ઢાંચો:Pre2	Template:Pre2
ઢાંચો:Infobox building	Template:Infobox building
ઢાંચો:Location map USA	Template:Location map USA
ઢાંચો:Lang-el	Template:Lang-el
ઢાંચો:NASDAQ	Template:NASDAQ
ઢાંચો:Clarify	Template:Clarify
ઢાંચો:Loremipsum	Template:Lorem ipsum original
મોરબી જિલ્લો	莫尔比县
શ્રેણી:ગુજરાતના જિલ્લાઓ	Category:古吉拉特邦行政区划
શ્રેણી:વિયેતનામમાં એરપોર્ટ	Category:越南機場
ઢાંચો:Emergency-bot-shutoff	Template:Emergency-bot-shutoff
ઢાંચો:Image label small	Template:Image label small
ઢાંચો:Nihongo	Template:Nihongo
ઢાંચો:Infobox military unit	Template:Infobox Military Unit
ઘુડખર	印度野驢
ઢાંચો:Sec link auto	Template:Sec link auto
ઢાંચો:Align	Template:Align
ઢાંચો:Allcaps	Template:Allcaps
ઢાંચો:S-ttl	Template:S-title
ઢાંચો:Helpbox	Template:Helpbox
ઢાંચો:Infobox stadium	Template:Infobox 體育場館
ઢાંચો:IPAEng	Template:IPA-en
શ્રેણી:Fair use images	Category:合理使用图像
ઢાંચો:Cmbox	Template:Cmbox
ઢાંચો:Precision	Template:Precision
ઢાંચો:Infobox International Football Competition	Template:國際足球賽事
ઢાંચો:Infobox tennis player	Template:Infobox 網球選手
ઢાંચો:S-bef	Template:S-before
ઢાંચો:Cite conference	Template:Cite conference
ઢાંચો:Infobox political post	Template:Infobox Political post
શ્રેણી:ભારતના રાષ્ટ્રપતિ	Category:印度總統
ઢાંચો:S-par	Template:S-par
ઢાંચો:Infobox UK place	Template:Infobox UK place
ઢાંચો:Fake heading	Template:Fake heading
ઢાંચો:અઠવાડિયાના વારનાં નામો	Template:星期中的日子
ઢાંચો:Nobold	Template:Nobold
ઉપનિષદ	奥义书
ઢાંચો:Infobox game	Template:Infobox Game
ઢાંચો:Country data West Germany	Template:Country data West Germany
ઢાંચો:Lang-ru	Template:Lang-ru
ઢાંચો:Country data East Germany	Template:Country data East Germany
ઢાંચો:@	Template:@
શ્રેણી:Images	Category:维基百科图像
ઢાંચો:Polytonic	Template:Script/Greek
ઢાંચો:Country data Kingdom of the Netherlands	Template:Country data Kingdom of the Netherlands
ઢાંચો:Family tree/start	Template:Familytree/start
ઢાંચો:URL	Template:URL
ઢાંચો:સંદિગ્ધ શીર્ષક	Template:Disambig
ઢાંચો:User gu-2	Template:User gu-2
ઢાંચો:No	Template:未完成
ઢાંચો:Plainlist	Template:Plainlist
ઢાંચો:Doi	Template:Doi
ઢાંચો:Fb	Template:Fb
ઢાંચો:Partial	Template:Partial
ઢાંચો:Country data Madeira	Template:Country data Madeira
ઢાંચો:Country data Azores	Template:Country data Azores
ઢાંચો:જીવનકાળ	Template:BD
ઢાંચો:Infobox film	Template:Infobox Film
ઢાંચો:Order of magnitude	Template:Order of magnitude
ઢાંચો:ભારતના રાષ્ટ્રપતિ	Template:印度总统
ઢાંચો:Country data Ottoman Empire	Template:Country data Ottoman Empire
ઢાંચો:Nutritionalvalue	Template:营养值
ઢાંચો:User sandbox	Template:用戶沙盒
ઢાંચો:Infobox philosopher	Template:Infobox philosopher
ઢાંચો:High-risk	Template:High-risk
ઢાંચો:Infobox organisation	Template:Infobox Organization
ઢાંચો:Audio-IPA	Template:Audio-IPA
ઢાંચો:CategoryTOC	Template:CategoryTOC
ઢાંચો:Infobox treaty	Template:Infobox Treaty
ઢાંચો:Infobox military installation	Template:Infobox Military Structure
ઢાંચો:Infobox museum	Template:Infobox Museum
ઢાંચો:Lang-fr	Template:Lang-fr
ઢાંચો:FRA	Template:FRA
ઢાંચો:હિંદુ દેવી દેવતા અને ગ્રંથ	Template:印度神話
ઢાંચો:Pending	Template:Pending
ઢાંચો:માહિતીચોકઠું વ્યક્તિ	Template:Infobox person
ઢાંચો:Geological range	Template:Geological range
ઢાંચો:?	Template:?
ઢાંચો:Country data Kingdom of Ireland	Template:Country data Kingdom of Ireland
ઢાંચો:Country data Lordship of Ireland	Template:Country data Lordship of Ireland
ઢાંચો:Country data Israel	Template:Country data Israel
ઢાંચો:Country data Ukraine	Template:Country data Ukraine
ઢાંચો:Country data Colombia	Template:Country data Colombia
ઢાંચો:Country data Pakistan	Template:Country data Pakistan
ઢાંચો:Country data Ghana	Template:Country data Ghana
ઢાંચો:Country data South Korea	Template:Country data South Korea
શ્રેણી:કેરળ	Category:喀拉拉邦
ઢાંચો:Politics of Asia templates	Template:亚洲各国政治模板
ઢાંચો:Convert	Template:Convert
ઢાંચો:Country data Sint Eustatius	Template:Country data Sint Eustatius
ઢાંચો:Infobox football tournament	Template:Infobox football tournament
ઢાંચો:Copy edit	Template:Copyedit
ઢાંચો:Coord	Template:Coord
ઢાંચો:Country data Idaho	Template:Country data Idaho
ઢાંચો:Country data Kalmar Union	Template:Country data Kalmar Union
ઢાંચો:Dmoz	Template:Dmoz
ઢાંચો:Dated maintenance category	Template:Dated maintenance category
કથ્થાઇ પેટ થડચડ	栗腹鳾
ઢાંચો:Country data Bohemia	Template:Country data Bohemia
ઢાંચો:Country data Bahrain	Template:Country data Bahrain
ઢાંચો:યુરોપ	Template:Europe
ઢાંચો:WikiProjectBannerShell	Template:WikiProjectBannerShell
શ્રેણી:User fr	Category:Fr 使用者
શ્રેણી:User gu	Category:Gu 使用者
શ્રેણી:User hi-3	Category:Hi-3 使用者
શ્રેણી:सदस्य hi-2	Category:Hi-2 使用者
શ્રેણી:User fr-N	Category:Fr 母語使用者
શ્રેણી:User hi-N	Category:Hi 母语使用者
ઢાંચો:Cite video	Template:Cite AV media
ઢાંચો:IncreaseNegative	Template:IncreaseNegative
શ્રેણી:Wikipedia cleanup	Category:需要清理的条目
ઢાંચો:Catmore	Template:Catmore
ઢાંચો:Beta	Template:Beta
શ્રેણી:User de	Category:De 使用者
શ્રેણી:User en-3	Category:En-3 使用者
શ્રેણી:User en-N	Category:En 母语使用者
ઢાંચો:કોમ્પ્યુટરના મૂળભૂત ઘટકો	Template:电脑基本部件
શ્રેણી:User gu-1	Category:Gu-1 使用者
શ્રેણી:User gu-2	Category:Gu-2 使用者
શ્રેણી:User gu-3	Category:Gu-3 使用者
ઢાંચો:N/a	Template:N/A
ઢાંચો:Category class	Template:Cat class
પોરબંદર	博尔本德尔
ઢાંચો:Inline tags	Template:内联标签
ઢાંચો:Edit filter warning	Template:Abuse filter warning
ઢાંચો:Country data Germany	Template:Country data Germany
ઢાંચો:Country data United Kingdom	Template:Country data United Kingdom
ઢાંચો:Location map Greater London	Template:Location map Greater London
ઢાંચો:Country data Estonian SSR	Template:Country data Estonian SSR
ઢાંચો:માહિતીચોકઠું રોગ	Template:Infobox Disease
ઢાંચો:Country data Scotland	Template:Country data Scotland
ઢાંચો:Color sample	Template:Color sample
ઢાંચો:Country data Estonia	Template:Country data Estonia
ઢાંચો:Country data Montenegro	Template:Country data Montenegro
ઢાંચો:Weather box	Template:Infobox weather
ઢાંચો:Smallsup	Template:Smallsup
સિંહ (સંદિગ્ધ)	狮子 (消歧义)
ઢાંચો:Su	Template:Su
ઢાંચો:Protection templates	Wikipedia:模板消息/保護模板
ઢાંચો:Confuse	Template:Distinguish
ઢાંચો:Wikivoyage	Template:Wikivoyage
ઢાંચો:Pp-protected	Template:Pp-protected
શ્રેણી:નવેમ્બર	Category:11月
ઢાંચો:High-use	Template:High-use
પાણી (અણુ)	水的性質
ઢાંચો:Help pages header	Template:维基百科帮助页 (页眉栏)
ઢાંચો:User ta	Template:User ta
ઢાંચો:Wikipedia how to	Template:Wikipedia how to
શ્રેણી:માર્ચ	Category:3月
શ્રેણી:સપ્ટેમ્બર	Category:9月
શ્રેણી:ઓક્ટોબર	Category:10月
શ્રેણી:ડિસેમ્બર	Category:12月
શ્રેણી:ઓગસ્ટ	Category:8月
શ્રેણી:મે	Category:5月
ઢાંચો:No2	Template:No2
ઢાંચો:Rp	Template:Rp
ઢાંચો:Country data Korean Empire	Template:Country data Korean Empire
ઢાંચો:Country data Zimbabwe Rhodesia	Template:Country data Zimbabwe-Rhodesia
શ્રેણી:ઇંગ્લેન્ડ	Category:英格蘭
અર્થીંગ	接地
શ્રેણી:એપ્રિલ	Category:4月
ઢાંચો:String templates see also text	Template:字符串模板參見文字
ઢાંચો:Rh	Template:Rh
ઢાંચો:Red	Template:紅
ઢાંચો:Coord/dms2dec	Template:Coord/dms2dec
ઢાંચો:Country data Brazil	Template:Country data Brazil
ઢાંચો:Yes2	Template:Yes2
ઢાંચો:Country data Northern Ireland	Template:Country data Northern Ireland
ઢાંચો:Country data Dahomey	Template:Country data Dahomey
ઢાંચો:ચર્ચા-પૂરી	Template:Closed
ઢાંચો:Title without disambig	Template:Title without disambig
ઢાંચો:Country data Kingdom of Great Britain	Template:Country data Kingdom of Great Britain
ઢાંચો:Country data Swaziland	Template:Country data Swaziland
ઢાંચો:Country data United Kingdom of Great Britain and Ireland	Template:Country data United Kingdom of Great Britain and Ireland
ઢાંચો:Country data Somaliland	Template:Country data Somaliland
ઢાંચો:Start date and age	Template:Start date and age
ઢાંચો:Country data Hungary	Template:Country data Hungary
શ્રેણી:ભારતના વિશ્વધરોહર સ્થળો	Category:印度世界遗产
ઢાંચો:Bookcover	Template:Bookcover
ઢાંચો:Infobox government agency	Template:Infobox Govt Agency
ઢાંચો:Country data New Zealand	Template:Country data New Zealand
શ્રેણી:User ru	Category:Ru 使用者
શ્રેણી:User ru-3	Category:Ru-3 使用者
શ્રેણી:1533 જન્મો	Category:1533年出生
ઢાંચો:S-reg	Template:S-reg
શ્રેણી:User tr	Category:Tr 使用者
શ્રેણી:User tr-N	Category:Tr 母語使用者
ઢાંચો:Country data Faroe Islands	Template:Country data Faroe Islands
ઢાંચો:Lang	Template:Lang
ઢાંચો:Country data United States	Template:Country data United States
ઢાંચો:Country data Russian SFSR	Template:Country data Russian SFSR
શ્રેણી:દિલ્હી	Category:德里首都辖区
ઢાંચો:OCLC	Template:OCLC
ઢાંચો:માહિતીચોકઠું તૈયાર ખોરાક	Template:Infobox Prepared Food
પાલી	巴利 (拉賈斯坦邦)
વિકિપીડિયા:નિષ્પક્ષતા વિવાદ	Wikipedia:中立观点争议
ઢાંચો:Infobox River	Template:Infobox River
ઢાંચો:Country data Turkmenistan	Template:Country data Turkmenistan
શ્રેણી:1986 જન્મો	Category:1986年出生
ઢાંચો:Country data North Korea	Template:Country data North Korea
ઢાંચો:Country data Afghanistan	Template:Country data Afghanistan
ઢાંચો:Country data Bangladesh	Template:Country data Bangladesh
ઢાંચો:Country data South Sudan	Template:Country data South Sudan
ઢાંચો:As of	Template:As of
ઢાંચો:Pp-semi-vandalism	Template:Pp-vandalism
ઢાંચો:Auto link	Template:AutoLink
ઢાંચો:Awards	Template:獎項
ઢાંચો:BLACK	Template:BLACK
ઢાંચો:Bombay Stock Exchange	Template:Bse
પાલીતાણા	帕利塔纳
ઢાંચો:Twitter	Template:Twitter
ઢાંચો:Lang-hi	Template:Lang-hi
ઢાંચો:Chembox header	Template:Chembox header
ઢાંચો:Convert/-/AoffSoff	Template:Convert/-/AoffSoff
ઢાંચો:Convert/LoutAonDbSoff	Template:Convert/LoutAonDbSoff
ઢાંચો:Convert/sqyd	Template:Convert/sqyd
ઢાંચો:Coord/dec2dms/dm	Template:Coord/dec2dms/dm
ઢાંચો:F1	Template:F1
ઢાંચો:Weather box/cold	Template:Infobox weather/cold
ઢાંચો:Event	Template:Event
ઢાંચો:RUS	Template:RUS
ઢાંચો:Importance/colour	Template:Importance-col
ઢાંચો:Category importance	Template:Cat importance
ઢાંચો:Chembox ChEBI	Template:Chembox ChEBI
ઢાંચો:Chembox BoilingPt	Template:Chembox BoilingPt
ઢાંચો:Chembox EUIndex	Template:Chembox EUIndex
ઢાંચો:નોંધનીયતા માર્ગદર્શન	Template:关注度标准导航
ઢાંચો:Ifd	Template:Ifd
ઢાંચો:Infobox civil conflict	Template:Infobox Civil Conflict
ઢાંચો:Citation	Template:Citation
ઢાંચો:Citation/core	Template:Citation/core
ઢાંચો:Cite EB1911	Template:Wikisource1911Enc Citation
ઢાંચો:User ur	Template:User ur
ઢાંચો:Country data Yugoslavia	Template:Country data SFR Yugoslavia
ઢાંચો:DecreasePositive	Template:DecreasePositive
ઢાંચો:The Random Acts of Kindness Barnstar	Template:友善星章
ઢાંચો:Country data Marshall Islands	Template:Country data Marshall Islands
ઢાંચો:Country data Mauritania	Template:Country data Mauritania
ઢાંચો:Country data Guam	Template:Country data Guam
ઢાંચો:Country data Northern Mariana Islands	Template:Country data Northern Mariana Islands
ઢાંચો:Country data American Samoa	Template:Country data American Samoa
ઢાંચો:Country data Sudan	Template:Country data Sudan
ઢાંચો:Country data Chad	Template:Country data Chad
ઢાંચો:Unbulleted list	Template:Unbulleted list
શ્રેણી:કાગડો	Category:鸦属
ઢાંચો:Country data Federated States of Micronesia	Template:Country data Federated States of Micronesia
ઢાંચો:Country data Nova Scotia	Template:Country data Nova Scotia
ઢાંચો:Country data North Vietnam	Template:Country data North Vietnam
શ્રેણી:રાષ્ટ્રધ્વજો	Category:国旗
શ્રેણી:રાસાયણિક તત્વો	Category:化学元素
ઢાંચો:Country data Lithuanian SSR	Template:Country data Lithuanian SSR
ઢાંચો:Country data Latvian SSR	Template:Country data Latvian SSR
શ્રેણી:Articles with dead external links	Category:带有失效链接的条目
શ્રેણી:ભૂગોળ સ્ટબ	Category:地理小作品
ઢાંચો:User gu-1	Template:User gu-1
ઢાંચો:Country data Burkina Faso	Template:Country data Burkina Faso
ઢાંચો:Umbox	Template:Umbox
શ્રેણી:નેપાળ	Category:尼泊爾
ઢાંચો:PAGENAMEBASE	Template:PAGENAMEBASE
ઢાંચો:Country data Byelorussian SSR	Template:Country data Byelorussian SSR
શ્રેણી:માછલી	Category:鱼类
શ્રેણી:Public domain images	Category:公共领域图像
શ્રેણી:મહાસાગર	Category:远洋
શ્રેણી:અંક પદ્ધતિ	Category:数字
શ્રેણી:ગોઆ	Category:果阿邦
શ્રેણી:કર્ણાટક	Category:卡纳塔克邦
શ્રેણી:છત્તીસગઢ	Category:恰蒂斯加尔邦
શ્રેણી:ગુજરાત	Category:古吉拉特邦
શ્રેણી:ઝારખંડ	Category:贾坎德邦
શ્રેણી:તમિલનાડુ	Category:泰米尔纳德邦
શ્રેણી:મધ્ય પ્રદેશ	Category:中央邦
શ્રેણી:મિઝોરમ	Category:米佐拉姆邦
શ્રેણી:રાજસ્થાન	Category:拉贾斯坦邦
શ્રેણી:સિક્કિમ	Category:锡金
શ્રેણી:હરિયાણા	Category:哈里亚纳邦
શ્રેણી:ઉત્તર પ્રદેશ	Category:北方邦
શ્રેણી:મેઘાલય	Category:梅加拉亚邦
શ્રેણી:પશ્ચિમ બંગાળ	Category:西孟加拉邦
શ્રેણી:ઑડિશા	Category:奥里萨邦
શ્રેણી:પ્રાણીઓ	Category:动物
બલિયા	巴利亚
ઢાંચો:S-end	Template:Rail end
ઢાંચો:Infobox book series	Template:Infobox 丛书
ધૂમ્રપાન	吸菸
ઢાંચો:MedalCompetition	Template:MedalCompetition
શ્રેણી:હિમાલય	Category:喜马拉雅山脉
શ્રેણી:ઍન્ટાર્કટીકા	Category:南极洲
ઢાંચો:Wikiversity	Template:Wikiversity
ઢાંચો:Country data Hawaii	Template:Country data Hawaii
ઢાંચો:Tnull	Template:Tnull
શ્રેણી:નાગાલેંડ	Category:那加兰邦
શ્રેણી:જમ્મુ અને કાશ્મીર	Category:查谟-克什米尔邦
શ્રેણી:મણિપુર	Category:曼尼普尔邦
શ્રેણી:મહારાષ્ટ્ર	Category:马哈拉施特拉邦
શ્રેણી:અરુણાચલ પ્રદેશ	Category:阿鲁纳恰尔邦
શ્રેણી:હિમાચલ પ્રદેશ	Category:喜马偕尔邦
શ્રેણી:આંધ્ર પ્રદેશ	Category:安得拉邦
શ્રેણી:આસામ	Category:阿萨姆邦
ઢાંચો:Usbktop	Template:Usbktop
ઢાંચો:Usbk	Template:Usbk
ધ પ્રોડિજિ	超凡樂團
ઢાંચો:First word	Template:First word
વર્ણવ્યવસ્થા	瓦爾那
ઢાંચો:WPBannerMeta	Template:WPBannerMeta
Module:URL	模块:URL
Module:Gallery	模块:Gallery
ઢાંચો:ભારતીય અવકાશ કાર્યક્રમ	Template:印度太空计划
ઢાંચો:Country data Alabama	Template:Country data Alabama
ઢાંચો:Country data Alaska	Template:Country data Alaska
ઢાંચો:Country data Alberta	Template:Country data Alberta
ઢાંચો:Lang-or	Template:Lang-or
શ્રેણી:ભારતની સંસદ	Category:印度议会
ઢાંચો:Country data Kingdom of Bulgaria	Template:Country data Kingdom of Bulgaria
ઢાંચો:Mojo title	Template:Mojo title
ઢાંચો:CountryAbbr	Template:CountryAbbr
ઢાંચો:Least	Template:Least
શ્રેણી:ભારતનાં રાજ્યો અને કેન્દ્રશાસિત પ્રદેશો	Category:印度一级行政区
ઢાંચો:Sec link	Template:Sec link
ઢાંચો:FULLROOTPAGENAME	Template:FULLROOTPAGENAME
ઢાંચો:S-vac	Template:S-vacant
શ્રેણી:Articles with invalid date parameter in template	Category:模板中使用无效日期参数的条目
ઢાંચો:Incorrect namespace	Template:Incorrect namespace
ઢાંચો:Single namespace	Template:Single namespace
ઢાંચો:Pp-move	Template:Pp-move
શ્રેણી:અંગ્રેજી ભાષાના ગાયકો	Category:英語歌手
ઢાંચો:Country data Mexican Federal District	Template:Country data Mexican Federal District
ઢાંચો:Country data Michoacán	Template:Country data Michoacán
ઢાંચો:Country data Nuevo León	Template:Country data Nuevo León
ઢાંચો:Country data Hidalgo	Template:Country data Hidalgo
ઢાંચો:Country data Nayarit	Template:Country data Nayarit
ઢાંચો:Country data Oaxaca	Template:Country data Oaxaca
ઢાંચો:Country data Jalisco	Template:Country data Jalisco
ઢાંચો:Country data Sinaloa	Template:Country data Sinaloa
ઢાંચો:Country data Zacatecas	Template:Country data Zacatecas
ઢાંચો:Country data San Luis Potosí	Template:Country data San Luis Potosí
ઢાંચો:Country data Tlaxcala	Template:Country data Tlaxcala
ઢાંચો:Country data Yucatán	Template:Country data Yucatán
ઢાંચો:Country data Guanajuato	Template:Country data Guanajuato
ઢાંચો:Country data Querétaro	Template:Country data Querétaro
ઢાંચો:Country data México (state)	Template:Country data México (state)
ઢાંચો:Country data Guerrero	Template:Country data Guerrero
ઢાંચો:Country data Tamaulipas	Template:Country data Tamaulipas
ઢાંચો:Country data Tabasco	Template:Country data Tabasco
ઢાંચો:Country data Quintana Roo	Template:Country data Quintana Roo
ઢાંચો:Country data Sonora	Template:Country data Sonora
ઢાંચો:Country data Aguascalientes	Template:Country data Aguascalientes
ઢાંચો:Country data Campeche	Template:Country data Campeche
ઢાંચો:Country data Chihuahua	Template:Country data Chihuahua
ઢાંચો:Country data Chiapas	Template:Country data Chiapas
ઢાંચો:Country data Durango	Template:Country data Durango
ઢાંચો:Country data Baja California	Template:Country data Baja California
ઢાંચો:Country data Coahuila	Template:Country data Coahuila
ઢાંચો:Country data Baja California Sur	Template:Country data Baja California Sur
ઢાંચો:Country data Colima	Template:Country data Colima
ઢાંચો:Substituted	Template:Substituted
ઢાંચો:Country data Veracruz	Template:Country data Veracruz
ઢાંચો:Country data Puebla	Template:Country data Puebla
ઢાંચો:Country data Morelos	Template:Country data Morelos
ઢાંચો:Country data Spain	Template:Country data Spain
ઢાંચો:Pad	Template:Pad
ઢાંચો:Country data Canada	Template:Country data Canada
ઢાંચો:Class	Template:Class
ઢાંચો:Conservation status	Template:保护现状
ઢાંચો:Convert/3	Template:Convert/3
ઢાંચો:Convert/Dual/LoffAoffDbSoffT	Template:Convert/Dual/LoffAoffDxSoffT
ઢાંચો:Convert/LoffAoffDorSoff	Template:Convert/LoffAoffDorSoff
ઢાંચો:Convert/numdisp/frac0	Template:Convert/numdisp/frac0
ઢાંચો:Convert/numdisp/frac1	Template:Convert/numdisp/frac1
ઢાંચો:Cookbook	Template:Cookbook
